Participant,Trial,Mean_SSD_Diff,Driver_Direction,Alert_Combination,Pedestrian_Crossing
Azaan,16,-6.085412939384947,Left,No alert,To driver's left
Ionel,15,5.494234390459575,Straight (left lane),Sign 2,Straight ahead
Pete,9,2.8371467169485625,Straight (right lane),Sign 3,Straight ahead
Adity,13,-5.436508143846178,Left,Crosswalk,To driver’s left
Adity,12,3.7757714339707142,Right,Sign 3,To driver’s right
Pete,8,-0.9295296947957159,Left,Sign 3 + crosswalk,Straight ahead
Azaan,15,-5.574559390010668,Straight (left lane),Sign 2,Straight ahead
Pete,15,3.3729559464844105,Straight (left lane),Sign 2,Straight ahead
Adity,11,9.403736812874762,Left,Sign 2,To driver’s right
Ionel,13,7.241186358303468,Left,Crosswalk,To driver’s left
Adity,15,3.2271731783512103,Straight (left lane),Sign 2,Straight ahead
Ionel,8,-3.0469362766007855,Left,Sign 3 + crosswalk,Straight ahead
Ionel,9,1.1550853787547604,Straight (right lane),Sign 3,Straight ahead
Pete,11,-2.1321230864569447,Left,Sign 2,To driver’s right
Ionel,12,9.533077978783107,Right,Sign 3,To driver’s right
Azaan,13,-8.173438340390778,Left,Crosswalk,To driver’s left
Pete,13,4.331813692047498,Left,Crosswalk,To driver’s left
Azaan,8,-15.446631401910354,Left,Sign 3 + crosswalk,Straight ahead
Azaan,9,-2.5775741367465104,Straight (right lane),Sign 3,Straight ahead
Pete,12,16.639996148481483,Right,Sign 3,To driver’s right
Ionel,11,4.4043315907358185,Left,Sign 2,To driver’s right
Azaan,12,-27.673877109480163,Right,Sign 3,To driver’s right
Carl,8,-4.508379353149926,Left,Sign 3 + crosswalk,Straight ahead
Kapi,5,-0.5361398823838741,Left,Sign 3,To driver’s left
Sabina,12,10.624140355077394,Right,Sign 3,To driver’s right
Sabina,1,5.682769850642184,Left,Sign 2 + crosswalk,Straight ahead
Adity,8,6.094761545037007,Left,Sign 3 + crosswalk,Straight ahead
Calvin,1,2.6811731299776396,Left,Sign 2 + crosswalk,Straight ahead
Adity,9,1.8562142886981048,Straight (right lane),Sign 3,Straight ahead
