Participant,Trial,Avg_Velocity,Driver_Direction,Alert_Combination,Pedestrian_Crossing
Azaan,16,24.471841478285025,Left,No alert,To driver's left
Ionel,15,16.91474731070614,Straight (left lane),Sign 2,Straight ahead
Pete,9,18.85207661043025,Straight (right lane),Sign 3,Straight ahead
Adity,13,23.60353731296494,Left,Crosswalk,To driver’s left
Pete,8,26.865986052539842,Left,Sign 3 + crosswalk,Straight ahead
Azaan,15,23.776720569384597,Straight (left lane),Sign 2,Straight ahead
Pete,15,17.224258198518708,Straight (left lane),Sign 2,Straight ahead
Adity,11,16.15409950756446,Left,Sign 2,To driver’s right
Ionel,13,17.287881544468352,Left,Crosswalk,To driver’s left
Adity,15,18.5338058087829,Straight (left lane),Sign 2,Straight ahead
Ionel,8,26.20602168709807,Left,Sign 3 + crosswalk,Straight ahead
Ionel,9,19.690304969305394,Straight (right lane),Sign 3,Straight ahead
Pete,11,20.364327488169582,Left,Sign 2,To driver’s right
Azaan,13,25.11500351876603,Left,Crosswalk,To driver’s left
Pete,13,17.486372601081417,Left,Crosswalk,To driver’s left
Azaan,8,35.95907226098713,Left,Sign 3 + crosswalk,Straight ahead
Azaan,9,21.9881492588136,Straight (right lane),Sign 3,Straight ahead
Ionel,11,21.86526208963114,Left,Sign 2,To driver’s right
Carl,8,26.569541716228716,Left,Sign 3 + crosswalk,Straight ahead
Kapi,5,23.46883785590298,Left,Sign 3,To driver’s left
Sabina,1,21.501796396026204,Left,Sign 2 + crosswalk,Straight ahead
Adity,8,18.78061279042636,Left,Sign 3 + crosswalk,Straight ahead
Calvin,1,22.91647000784355,Left,Sign 2 + crosswalk,Straight ahead
Adity,9,18.24068065881036,Straight (right lane),Sign 3,Straight ahead
Sabina,13,16.78156838672511,Left,Crosswalk,To driver’s left
Kapi,4,23.965458613821205,Straight (right lane),Sign 2 + crosswalk,To driver’s right
Madhav,1,26.349406180190293,Left,Sign 2 + crosswalk,Straight ahead
Carl,9,18.84074764633438,Straight (right lane),Sign 3,Straight ahead
Jason,8,26.681159735951503,Left,Sign 3 + crosswalk,Straight ahead
Eric,2,31.59972855437757,Straight (left lane),Crosswalk,To driver’s left
Jenn,8,31.52406589160992,Left,Sign 3 + crosswalk,Straight ahead
Madhav,3,33.228392918595596,Straight (right lane),No alert,To driver’s left
Kapi,6,28.733197612853573,Straight (left lane),No alert,To driver’s right
Sabina,11,19.992038661352307,Left,Sign 2,To driver’s right
Sabina,2,32.564816771569085,Straight (left lane),Crosswalk,To driver’s left
Calvin,2,52.00646097176084,Straight (left lane),Crosswalk,To driver’s left
Sabina,3,36.38520876110629,Straight (right lane),No alert,To driver’s left
Kapi,7,22.44499096,Left,Sign 3 + crosswalk,To driver’s left
Madhav,2,31.020150385394526,Straight (left lane),Crosswalk,To driver’s left
Jenn,9,20.40276674178575,Straight (right lane),Sign 3,Straight ahead
Eric,1,27.025393792273427,Left,Sign 2 + crosswalk,Straight ahead
Eric,5,23.925047791966392,Left,Sign 3,To driver’s left
Mayurah,9,27.295010143257088,Straight (right lane),Sign 3,Straight ahead
Madhav,6,29.131922080217347,Straight (left lane),No alert,To driver’s right
Sabina,7,16.91846204581276,Left,Sign 3 + crosswalk,To driver’s left
Calvin,6,19.736590745321436,Straight (left lane),No alert,To driver’s right
Sabina,6,23.056361872538556,Straight (left lane),No alert,To driver’s right
Sabina,15,18.189880097163186,Straight (left lane),Sign 2,Straight ahead
Madhav,7,19.864827858937144,Left,Sign 3 + crosswalk,To driver’s left
