STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
54753,-0.18277496,-0.09911757,-0.02096108,-0.0103092,-0.00117522,0.03956881,-1.26850846,19.26813117,0.0020599,-0.00514696,-0.11133083,0.3278158,0.0,0.0,0.14773733,2.0,0.0,0.0,1.74839838,-2.60603513,0.0,1.0,2.30096,-0.6524237,0.0,0.0,34.911199,0.0,0.0,524920,17.23781696074973,17.673382039250274,-0.9723433617
54754,-0.18284751,-0.0991647,-0.02137964,-0.00958499,-0.00120725,0.03867986,-1.26864781,19.26504539,0.0020387,-0.00515688,-0.11141888,0.32785491,0.0,0.0,0.14773733,2.0,0.0,0.0,1.74463724,-2.60661646,0.0,1.0,2.298405,-0.65072241,0.0,0.0,34.911199,0.0,0.0,524930,17.2344404237827,17.676758576217303,-0.972805707
54755,-0.18292045,-0.0992023,-0.0217802,-0.0088571,-0.00123977,0.03782286,-1.26878999,19.26195821,0.0020171,-0.00516608,-0.11150766,0.32789314,0.0,0.0,0.14773733,2.0,0.0,0.0,1.73996596,-2.60719856,0.0,1.0,2.29658,-0.64885644,0.0,0.0,34.911199,0.0,0.0,524940,17.231062552342316,17.680136447657688,-0.973174563
54756,-0.18299362,-0.09922995,-0.02216494,-0.00812615,-0.00127268,0.03700402,-1.26893503,19.25886997,0.00199511,-0.00517455,-0.11159718,0.32793053,0.0,0.0,0.14773733,2.0,0.0,0.0,1.76229057,-2.60777823,0.0,1.0,2.295485,-0.64691795,0.0,0.0,34.911199,0.0,0.0,524950,17.227683718679298,17.683515281320705,-0.9734458095
54757,-0.18306686,-0.09924736,-0.02253498,-0.00739058,-0.00130591,0.03622897,-1.26908296,19.25578103,0.00197274,-0.00518228,-0.11168746,0.32796712,0.0,0.0,0.14773733,2.0,0.0,0.0,1.80269052,-2.60835208,0.0,1.0,2.29439,-0.64492316,0.0,0.0,34.911199,0.0,0.0,524960,17.224304316837443,17.68689468316256,-0.9736166016
54758,-0.18313997,-0.09925438,-0.0228905,-0.00665034,-0.00133943,0.03550283,-1.26923379,19.25269175,0.00195001,-0.00518928,-0.11177848,0.32800296,0.0,0.0,0.14773733,2.0,0.0,0.0,1.85312948,-2.60892496,0.0,1.0,2.29293,-0.64290847,0.0,0.0,34.911199,0.0,0.0,524970,17.220924740768424,17.69027425923158,-0.9736854678
54759,-0.18321278,-0.09925099,-0.02323089,-0.00590561,-0.00137325,0.03483022,-1.26938753,19.2496025,0.00192694,-0.00519553,-0.11187026,0.3280381,0.0,0.0,0.14773733,2.0,0.0,0.0,1.92882182,-2.6095005,0.0,1.0,2.291105,-0.64097748,0.0,0.0,34.911199,0.0,0.0,524980,17.217545395270477,17.693653604729526,-0.9736522119
54760,-0.18328509,-0.09923323,-0.02354544,-0.0051569,-0.00140808,0.03421517,-1.26954417,19.24651366,0.00190353,-0.00520104,-0.1119628,0.3280726,0.0,0.0,0.14773733,2.0,0.0,0.0,2.01764806,-2.61007353,0.0,1.0,2.289645,-0.63919077,0.0,0.0,34.911199,0.0,0.0,524990,17.214166695985195,17.697032304014808,-0.9734779863000002
54761,-0.18335674,-0.09920951,-0.02385232,-0.00440476,-0.00144254,0.033661,-1.26970371,19.24342572,0.00187982,-0.0052058,-0.11205612,0.3281065,0.0,0.0,0.14773733,2.0,0.0,0.0,2.07737213,-2.61064289,0.0,1.0,2.288185,-0.63745778,0.0,0.0,34.911199,0.0,0.0,525000,17.210789178768813,17.70040982123119,-0.9732452931
54762,-0.18342847,-0.09917374,-0.0242042,-0.00348259,-0.00147452,0.03316948,-1.26986616,19.24033898,0.00185577,-0.00520964,-0.11215014,0.32813989,0.0,0.0,0.16160938,2.0,0.0,0.0,2.08958077,-2.61120832,0.0,1.0,2.286725,-0.63560822,0.0,0.0,34.911199,0.0,0.0,525010,17.207413171552837,17.703785828447167,-0.9728943894
