STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
54313,-0.1752625,-0.09233633,0.00557752,-0.02451691,-0.0013125,-0.13357453,-1.15855214,21.8251524,-0.00309356,0.00516474,-0.15057693,0.30125901,0.0,0.0,0.21709758,2.0,0.0,0.0,-1.66302952,-2.08950904,0.0,1.0,1.651625,0.5290173,0.0,0.0,34.99117472,0.0,0.0,470890,20.103595684713905,14.887579035286096,-0.9058193973
54314,-0.17513627,-0.0923571,0.00550233,-0.02462853,-0.00129456,-0.1332107,-1.15816713,21.82224065,-0.00308805,0.00514021,-0.15054951,0.30112562,0.0,0.0,0.21709758,2.0,0.0,0.0,-1.74815824,-2.08906093,0.0,1.0,1.652355,0.5270154,0.0,0.0,34.99117472,0.0,0.0,470900,20.100255293466873,14.890919426533124,-0.906023151
54315,-0.17500795,-0.09239354,0.00545299,-0.02485021,-0.00127815,-0.13284752,-1.15778139,21.81932758,-0.00308259,0.00511544,-0.15052167,0.3009926,0.0,0.0,0.21709758,2.0,0.0,0.0,-1.82804562,-2.08861714,0.0,1.0,1.65272,0.5248088,0.0,0.0,34.99117472,0.0,0.0,470910,20.096913563700383,14.894261156299612,-0.9063806274
54316,-0.17487837,-0.0924416,0.0053795,-0.02505006,-0.00126088,-0.1324842,-1.15739486,21.81641274,-0.00307719,0.00509046,-0.1504934,0.30085995,0.0,0.0,0.21709758,2.0,0.0,0.0,-1.90789303,-2.08817566,0.0,1.0,1.65491,0.52253277,0.0,0.0,34.99117472,0.0,0.0,470920,20.093569979476488,14.897604740523509,-0.906852096
54317,-0.17474762,-0.09250046,0.00527996,-0.02523114,-0.00124267,-0.13212055,-1.1570075,21.81349573,-0.00307186,0.00506529,-0.15046467,0.30072766,0.0,0.0,0.21709758,2.0,0.0,0.0,-1.9910553,-2.08774125,0.0,1.0,1.65783,0.52037897,0.0,0.0,34.99117472,0.0,0.0,470930,20.090224082316105,14.900950637683891,-0.9074295126000002
54318,-0.17461584,-0.09256923,0.00515517,-0.02539519,-0.00122355,-0.13175637,-1.15661926,21.81057619,-0.00306664,0.00503995,-0.15043544,0.30059573,0.0,0.0,0.21709758,2.0,0.0,0.0,-2.00372619,-2.08731823,0.0,1.0,1.659655,0.51786805,0.0,0.0,34.99117472,0.0,0.0,470940,20.086875459714683,14.904299260285311,-0.9081041463
54319,-0.17448314,-0.09264704,0.00500806,-0.02554291,-0.00120362,-0.13139157,-1.15623009,21.80765378,-0.00306155,0.00501445,-0.15040569,0.30046416,0.0,0.0,0.23096963,2.0,0.0,0.0,-2.10590669,-2.08689377,0.0,1.0,1.661115,0.51537985,0.0,0.0,34.99117472,0.0,0.0,470950,20.08352372219271,14.907650997807288,-0.9088674624
54320,-0.17435041,-0.09273059,0.00477899,-0.02554201,-0.00118018,-0.13102615,-1.15583999,21.80472829,-0.00305665,0.00498895,-0.15037529,0.30033297,0.0,0.0,0.24484168,2.0,0.0,0.0,-2.17539901,-2.08646545,0.0,1.0,1.662575,0.51334282,0.0,0.0,34.99117472,0.0,0.0,470960,20.080168629439832,14.911006090560164,-0.9096870879
54321,-0.1742169,-0.09282384,0.00452839,-0.02552563,-0.001156,-0.13066176,-1.15544892,21.80179941,-0.003052,0.00496346,-0.1503442,0.30020213,0.0,0.0,0.24484168,2.0,0.0,0.0,-2.21696245,-2.08604065,0.0,1.0,1.664765,0.5111085,0.0,0.0,34.99117472,0.0,0.0,470970,20.076809826521455,14.914364893478542,-0.9106018704
54322,-0.17408195,-0.09292979,0.00433155,-0.02562793,-0.00113441,-0.1302993,-1.15505681,21.7988667,-0.00304756,0.00493785,-0.15031245,0.30007166,0.0,0.0,0.24484168,2.0,0.0,0.0,-2.2869291,-2.08563202,0.0,1.0,1.66805,0.50853528,0.0,0.0,34.99117472,0.0,0.0,470980,20.073446809508383,14.917727910491614,-0.9116412399
