STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
58233,-0.19498724,-0.05962228,0.18295234,-0.2405212,-0.02552269,0.09221267,-0.86980259,25.27209536,-0.05874221,0.00077627,-0.34457203,0.2700386,0.0,0.0,0.20322553,2.0,0.0,0.0,-6.9530724,-1.66907637,0.0,1.0,2.306435,-0.16931716,0.0,0.0,34.98064938,0.0,0.0,510410,24.18116806431038,10.799481315689622,-0.5848945668000001
58234,-0.1948675,-0.0579838,0.1899962,-0.24282879,-0.02479458,0.0984343,-0.86986105,25.27027512,-0.05855711,0.00053463,-0.34397622,0.27013412,0.0,0.0,0.20322553,2.0,0.0,0.0,-7.01488077,-1.66948215,0.0,1.0,2.313005,-0.17565273,0.0,0.0,34.98064938,0.0,0.0,510420,24.178949835010975,10.801699544989027,-0.568821078
58235,-0.19477161,-0.05647576,0.19664765,-0.24505067,-0.0240594,0.10390415,-0.86991361,25.26851041,-0.05836505,0.00029067,-0.34335976,0.2702355,0.0,0.0,0.18935348,2.0,0.0,0.0,-7.13031995,-1.66990137,0.0,1.0,2.3214,-0.18226947,0.0,0.0,34.98064938,0.0,0.0,510430,24.176799342702576,10.803850037297426,-0.5540272056000001
58236,-0.1947024,-0.05509802,0.20293899,-0.24719489,-0.02331937,0.10855525,-0.869961,25.2667966,-0.05816643,4.447e-05,-0.34272262,0.27034195,0.0,0.0,0.20322553,2.0,0.0,0.0,-7.21398048,-1.67033004,0.0,1.0,2.32724,-0.18904129,0.0,0.0,34.98064938,0.0,0.0,510440,24.17471093938056,10.805938440619444,-0.5405115762
58237,-0.19466423,-0.05384133,0.20866968,-0.24892755,-0.02256663,0.11233278,-0.87000413,25.26512937,-0.05796172,-0.00020355,-0.3420646,0.27045263,0.0,0.0,0.20322553,2.0,0.0,0.0,-7.36162938,-1.67084473,0.0,1.0,2.331255,-0.19657708,0.0,0.0,34.98064938,0.0,0.0,510450,24.172679355610803,10.8079700243892,-0.5281834473
58238,-0.19465741,-0.05271615,0.2140305,-0.25058142,-0.02181015,0.11518041,-0.870044,25.26350416,-0.05775136,-0.00045332,-0.34138559,0.27056663,0.0,0.0,0.20322553,2.0,0.0,0.0,-7.54876593,-1.67133851,0.0,1.0,2.335635,-0.20469423,0.0,0.0,34.98064938,0.0,0.0,510460,24.170699030262757,10.809950349737246,-0.5171454315
58239,-0.19468429,-0.05171879,0.21897717,-0.25204938,-0.02104866,0.1170585,-0.87008166,25.2619164,-0.05753576,-0.00070465,-0.34068557,0.270683,0.0,0.0,0.20322553,2.0,0.0,0.0,-7.70302126,-1.67184592,0.0,1.0,2.340015,-0.21286928,0.0,0.0,34.98064938,0.0,0.0,510470,24.16876439075372,10.81188498924628,-0.5073613299
58240,-0.19474633,-0.05084836,0.22351332,-0.25333536,-0.02028291,0.11793516,-0.87011829,25.26036161,-0.05731533,-0.00095736,-0.3399645,0.27080075,0.0,0.0,0.20322553,2.0,0.0,0.0,-7.71525298,-1.67224645,0.0,1.0,2.347315,-0.22053527,0.0,0.0,34.98064938,0.0,0.0,510480,24.16686997485512,10.813779405144883,-0.4988224116
58241,-0.19484457,-0.05010111,0.22764875,-0.25444168,-0.01951408,0.11778824,-0.87015512,25.2588353,-0.05709047,-0.00121127,-0.33922236,0.27091886,0.0,0.0,0.20322553,2.0,0.0,0.0,-7.71567923,-1.67268812,0.0,1.0,2.356075,-0.2276576,0.0,0.0,34.98064938,0.0,0.0,510490,24.16501030880591,10.815639071194092,-0.4914918891
58242,-0.19497973,-0.04948233,0.2313812,-0.25538843,-0.01874297,0.11659827,-0.87019344,25.25733309,-0.05686158,-0.0014662,-0.33845917,0.2710363,0.0,0.0,0.18935348,2.0,0.0,0.0,-7.72191866,-1.67310658,0.0,1.0,2.362645,-0.23461756,0.0,0.0,34.98064938,0.0,0.0,510500,24.16318005348876,10.817469326511244,-0.4854216573
