STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
33963,-0.17208775,-0.09046729,0.08744013,-0.02246353,0.00418644,-0.01916004,-1.14046545,21.10769366,-0.00106353,0.00266994,-0.12734016,0.29587164,0.0,0.0,0.13386528,2.0,0.0,0.0,-0.06943094,-2.15529629,0.0,1.0,2.040715,-0.00738396,1.93472091,0.0,34.95293769,0.0,0.0,320340,19.28583063746714,15.66710705253286,-0.8874841149000001
33964,-0.17198522,-0.09000561,0.08832814,-0.02210901,0.00415252,-0.01764878,-1.14029685,21.10484429,-0.00097646,0.00264773,-0.12716744,0.29585323,0.0,0.0,0.14773733,2.0,0.0,0.0,-0.04324616,-2.15529712,0.0,1.0,2.04108,-0.0076794,1.93472091,0.0,34.95293769,0.0,0.0,320350,19.282604167637295,15.670333522362704,-0.8829550341000001
33965,-0.17188073,-0.08951576,0.08930159,-0.02190884,0.00411695,-0.01609927,-1.14012579,21.10201158,-0.00088846,0.00262574,-0.12699783,0.29583635,0.0,0.0,0.14773733,2.0,0.0,0.0,-0.00243834,-2.155298,0.0,1.0,2.041445,-0.00789022,2.11783197,0.0,34.95293769,0.0,0.0,320360,19.279396729435,15.673540960565,-0.8781496056
33966,-0.17177551,-0.08898985,0.08991797,-0.02172219,0.00409493,-0.01452079,-1.13995219,21.09919667,-0.00079948,0.00260393,-0.12683135,0.29582104,0.0,0.0,0.14773733,2.0,0.0,0.0,0.03532464,-2.15529918,0.0,1.0,2.041445,-0.00790124,2.27042451,0.0,34.95293769,0.0,0.0,320370,19.27620961063279,15.676728079367203,-0.8729904285
33967,-0.17166965,-0.08842959,0.09080435,-0.02155805,0.00406641,-0.0129173,-1.13977599,21.09640087,-0.00070988,0.00258231,-0.12666753,0.29580732,0.0,0.0,0.14773733,2.0,0.0,0.0,0.03365776,-2.1553006,0.0,1.0,2.039985,-0.00765454,2.43827631,0.0,34.95293769,0.0,0.0,320380,19.273044291220007,15.679893398779992,-0.8674942779000001
33968,-0.17156346,-0.08783072,0.09206664,-0.02141876,0.00402762,-0.0112967,-1.13959714,21.09362542,-0.00061939,0.00256083,-0.1265066,0.29579521,0.0,0.0,0.16160938,2.0,0.0,0.0,0.00134271,-2.15530187,0.0,1.0,2.03816,-0.00727954,2.52983184,0.0,34.95293769,0.0,0.0,320390,19.26990217165829,15.683035518341708,-0.8616193632000001
33969,-0.17145806,-0.08719585,0.09343109,-0.02116433,0.00398912,-0.00966767,-1.13941561,21.09087178,-0.00052768,0.00253963,-0.12634888,0.29578473,0.0,0.0,0.16160938,2.0,0.0,0.0,-0.01402027,-2.1553038,0.0,1.0,2.03743,-0.00703823,2.52983184,0.0,34.95293769,0.0,0.0,320400,19.266784901194494,15.686152788805504,-0.8553912885000001
33970,-0.17135231,-0.08652243,0.09442032,-0.02105486,0.00396428,-0.00804083,-1.13923135,21.08814106,-0.00043456,0.00251853,-0.12619453,0.29577588,0.0,0.0,0.16160938,2.0,0.0,0.0,0.03082022,-2.15531046,0.0,1.0,2.03743,-0.00709552,2.62138737,0.0,34.95293769,0.0,0.0,320410,19.26369373258125,15.68924395741875,-0.8487850383000001
33971,-0.17124738,-0.08580394,0.09470504,-0.02095076,0.00396448,-0.00642376,-1.13904434,21.08543478,-0.00034044,0.00249754,-0.12604302,0.29576866,0.0,0.0,0.14773733,2.0,0.0,0.0,0.09063261,-2.15532099,0.0,1.0,2.037795,-0.0074151,2.7129429,0.0,34.95293769,0.0,0.0,320420,19.26063038243603,15.692307307563963,-0.8417366514
33972,-0.17114268,-0.08504672,0.09487363,-0.02099805,0.00396963,-0.00482174,-1.13885453,21.08275444,-0.00024598,0.00247651,-0.12589357,0.29576305,0.0,0.0,0.14773733,2.0,0.0,0.0,0.12868048,-2.15533539,0.0,1.0,2.03743,-0.00780499,2.80449843,0.0,34.95293769,0.0,0.0,320430,19.257596544433856,15.695341145566143,-0.8343083232000001
