STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
46223,-0.25862224,-0.10129957,-0.02073843,-0.01239424,-0.00521619,0.00526651,-1.23170992,25.55702363,-0.00626252,-0.00066321,-0.18368057,0.35313788,0.0,0.0,0.16160938,2.0,0.0,0.0,-1.47189935,-2.23209826,0.0,1.0,2.64625,-0.34083681,0.0,0.0,34.90677757,0.0,0.0,426880,24.529241418958357,10.377536151041646,-0.9937487817
46224,-0.2585998,-0.10130429,-0.02041331,-0.01251054,-0.00518817,0.00562089,-1.23181822,25.55388198,-0.0062831,-0.00067565,-0.18370477,0.35314331,0.0,0.0,0.16160938,2.0,0.0,0.0,-1.42697688,-2.23246892,0.0,1.0,2.64771,-0.34216868,0.0,0.0,34.90677757,0.0,0.0,426890,24.52539435247556,10.381383217524444,-0.9937950849
46225,-0.25857716,-0.10131023,-0.02012838,-0.01270367,-0.0051612,0.00599104,-1.23192668,25.55074029,-0.00630338,-0.00068829,-0.18372759,0.35314911,0.0,0.0,0.16160938,2.0,0.0,0.0,-1.42564816,-2.23283589,0.0,1.0,2.6499,-0.34317793,0.0,0.0,34.90677757,0.0,0.0,426900,24.52154744153166,10.385230128468343,-0.9938533563
46226,-0.25855552,-0.10131213,-0.01982367,-0.01282466,-0.00513195,0.00637817,-1.23203532,25.54759852,-0.00632335,-0.00070104,-0.18374889,0.35315529,0.0,0.0,0.16160938,2.0,0.0,0.0,-1.34959385,-2.23319502,0.0,1.0,2.651725,-0.34404699,0.0,0.0,34.90677757,0.0,0.0,426910,24.517700637159493,10.38907693284051,-0.9938719953
46227,-0.25853429,-0.10131012,-0.01951775,-0.01295259,-0.00510271,0.00677953,-1.23214414,25.54445679,-0.00634301,-0.00071392,-0.18376869,0.35316186,0.0,0.0,0.16160938,2.0,0.0,0.0,-1.29293119,-2.23357603,0.0,1.0,2.654645,-0.34523266,0.0,0.0,34.90677757,0.0,0.0,426920,24.51385408629179,10.392923483708213,-0.9938522772
46228,-0.25851349,-0.10130448,-0.01920749,-0.01308566,-0.00507361,0.00719329,-1.23225316,25.54131525,-0.00636236,-0.00072692,-0.18378699,0.35316884,0.0,0.0,0.16160938,2.0,0.0,0.0,-1.13530253,-2.23394085,0.0,1.0,2.6572,-0.34672184,0.0,0.0,34.90677757,0.0,0.0,426930,24.51000797255732,10.39676959744268,-0.9937969488
46229,-0.25849315,-0.10129551,-0.01889035,-0.01322277,-0.00504473,0.00761753,-1.23236238,25.53817403,-0.00638141,-0.00074006,-0.18380382,0.35317624,0.0,0.0,0.16160938,2.0,0.0,0.0,-1.17113324,-2.23434547,0.0,1.0,2.657565,-0.34839982,0.0,0.0,34.90677757,0.0,0.0,426940,24.506162455062253,10.40061511493775,-0.9937089531
46230,-0.25847327,-0.10128354,-0.01856472,-0.01336412,-0.00501616,0.00805028,-1.2324718,25.53503322,-0.00640013,-0.00075334,-0.18381919,0.35318407,0.0,0.0,0.18935348,2.0,0.0,0.0,-1.1316106,-2.23473742,0.0,1.0,2.65793,-0.35018998,0.0,0.0,34.90677757,0.0,0.0,426950,24.50231764391434,10.404459926085664,-0.9935915274
46231,-0.25845523,-0.10126415,-0.01836012,-0.01323262,-0.00498229,0.00849191,-1.23258147,25.53189312,-0.00641862,-0.00076649,-0.18383296,0.35319233,0.0,0.0,0.16160938,2.0,0.0,0.0,-1.11554267,-2.23513768,0.0,1.0,2.658295,-0.35194672,0.0,0.0,34.90677757,0.0,0.0,426960,24.49847390624815,10.408303663751852,-0.9934013115
46232,-0.25843461,-0.1012569,-0.01790379,-0.01365339,-0.00495937,0.00892924,-1.2326913,25.52875339,-0.00643673,-0.00078006,-0.18384538,0.35320104,0.0,0.0,0.16160938,2.0,0.0,0.0,-1.07615618,-2.23553402,0.0,1.0,2.661215,-0.35373979,0.0,0.0,34.90677757,0.0,0.0,426970,24.49463082577065,10.412146744229355,-0.993330189
