STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
46593,-0.47735018,-0.0115805,0.00256212,-0.01546525,-0.01146466,-0.06912988,-1.17863536,35.44063388,-0.01080235,-0.00044718,-0.33781604,0.47805849,0.0,0.0,0.20322553,2.0,0.0,0.0,0.54951021,-2.32716639,0.0,1.0,3.02512,0.27180683,11.04449599,0.0,34.98915014,0.0,0.0,325320,37.64448681489884,-2.655336674898841,-0.113604705
46594,-0.47726179,-0.01160905,0.00234403,-0.01495685,-0.01145149,-0.06887993,-1.17855024,35.4407916,-0.01079992,-0.00046233,-0.33783843,0.4779895,0.0,0.0,0.20322553,2.0,0.0,0.0,0.59154836,-2.32686828,0.0,1.0,3.02512,0.27243036,11.04449599,0.0,34.98915014,0.0,0.0,325330,37.64471225518929,-2.6555621151892908,-0.1138847805
46595,-0.47717224,-0.01164547,0.00221322,-0.01473267,-0.01144171,-0.06864277,-1.17846433,35.44094796,-0.01079761,-0.00047726,-0.33786058,0.47792075,0.0,0.0,0.20322553,2.0,0.0,0.0,0.62474677,-2.32658568,0.0,1.0,3.02439,0.27286237,11.04449599,0.0,34.98915014,0.0,0.0,325340,37.64493575204489,-2.6557856120448875,-0.1142420607
46596,-0.47708284,-0.01168145,0.00207419,-0.01450953,-0.01143165,-0.06840504,-1.17837761,35.44110291,-0.01079543,-0.00049196,-0.33788248,0.47785223,0.0,0.0,0.18935348,2.0,0.0,0.0,0.68183234,-2.32626065,0.0,1.0,3.024025,0.27332036,11.04449599,0.0,34.98915014,0.0,0.0,325350,37.64515723398347,-2.656007093983469,-0.1145950245
46597,-0.47699483,-0.0117105,0.0017965,-0.01400602,-0.01141629,-0.06815559,-1.17829012,35.44125666,-0.01079347,-0.00050616,-0.33790399,0.47778396,0.0,0.0,0.20322553,2.0,0.0,0.0,0.70980781,-2.32595507,0.0,1.0,3.023295,0.27397348,11.04449599,0.0,34.98915014,0.0,0.0,325360,37.64537700116161,-2.6562268611616133,-0.114880005
46598,-0.47690643,-0.0117429,0.00156569,-0.01364616,-0.0114027,-0.06791233,-1.17820184,35.44140916,-0.01079175,-0.00052,-0.3379251,0.47771594,0.0,0.0,0.20322553,2.0,0.0,0.0,0.73002533,-2.3256517,0.0,1.0,3.02293,0.27461397,11.04449599,0.0,34.98915014,0.0,0.0,325370,37.64559498209859,-2.656444842098587,-0.115197849
46599,-0.47681771,-0.01177779,0.00140802,-0.01342496,-0.01139191,-0.06767353,-1.17811276,35.44156031,-0.01079021,-0.00053362,-0.33794587,0.47764815,0.0,0.0,0.18935348,2.0,0.0,0.0,0.74623531,-2.3253365,0.0,1.0,3.022565,0.2752647,11.04449599,0.0,34.98915014,0.0,0.0,325380,37.64581103384378,-2.656660893843778,-0.1155401199
46600,-0.47672986,-0.01180841,0.00120363,-0.01306232,-0.01137932,-0.06742631,-1.17802289,35.44171022,-0.01078886,-0.00054687,-0.33796627,0.47758061,0.0,0.0,0.18935348,2.0,0.0,0.0,0.80474393,-2.32502653,0.0,1.0,3.022565,0.27604405,11.04449599,0.0,34.98915014,0.0,0.0,325390,37.64602531361749,-2.656875173617493,-0.1158405021
46601,-0.47664234,-0.01183722,0.00100869,-0.01270167,-0.01136715,-0.06717612,-1.17793224,35.44185896,-0.01078771,-0.00055977,-0.33798629,0.47751331,0.0,0.0,0.18935348,2.0,0.0,0.0,0.85320206,-2.32471065,0.0,1.0,3.0222,0.27697651,11.05975524,0.0,34.98915014,0.0,0.0,325400,37.64623792146577,-2.657087781465769,-0.1161231282
46602,-0.47655516,-0.01186473,0.00084784,-0.01233765,-0.01135623,-0.06692287,-1.1778408,35.44200657,-0.01078676,-0.0005723,-0.33800593,0.47744627,0.0,0.0,0.18935348,2.0,0.0,0.0,0.90424942,-2.32438199,0.0,1.0,3.02147,0.27790754,11.05975524,0.0,34.98915014,0.0,0.0,325410,37.64644891455367,-2.6572987745536736,-0.1163930013
46603,-0.47646834,-0.01189098,0.0007482,-0.01197089,-0.01134744,-0.0666666,-1.17774859,35.44215312,-0.01078597,-0.00058447,-0.33802524,0.47737949,0.0,0.0,0.18935348,2.0,0.0,0.0,0.98685686,-2.32405038,0.0,1.0,3.02074,0.27897579,11.05975524,0.0,34.90905829,0.0,0.0,325420,37.64665839292887,-2.737600102928873,-0.1166505138
46604,-0.47638186,-0.01191544,0.00065606,-0.0116043,-0.01133906,-0.06640711,-1.17765561,35.44229865,-0.01078528,-0.00059627,-0.33804428,0.47731296,0.0,0.0,0.18935348,2.0,0.0,0.0,1.040545,-2.32371914,0.0,1.0,3.021105,0.27995643,11.05975524,0.0,34.90905829,0.0,0.0,325430,37.64686641375779,-2.7378081237577945,-0.1168904664
46605,-0.47629576,-0.01193761,0.00054832,-0.01123767,-0.01133033,-0.06614492,-1.17756186,35.44244323,-0.01078467,-0.0006077,-0.33806307,0.47724669,0.0,0.0,0.20322553,2.0,0.0,0.0,1.0746159,-2.3233996,0.0,1.0,3.02074,0.28082213,11.0750145,0.0,34.90905829,0.0,0.0,325440,37.64707307708967,-2.738014787089675,-0.1171079541
46606,-0.47621063,-0.01195489,0.00037825,-0.01072668,-0.01131934,-0.06587619,-1.17746737,35.44258703,-0.01078422,-0.00061862,-0.33808151,0.47718069,0.0,0.0,0.20322553,2.0,0.0,0.0,1.14314638,-2.32308268,0.0,1.0,3.019645,0.2816638,11.0750145,0.0,34.90905829,0.0,0.0,325450,37.64727862591552,-2.7382203359155213,-0.1172774709
46607,-0.47612525,-0.01197427,0.00030114,-0.01035428,-0.01131184,-0.06561412,-1.17737212,35.44273003,-0.0107839,-0.00062917,-0.33809965,0.47711496,0.0,0.0,0.20322553,2.0,0.0,0.0,1.18899472,-2.32275415,0.0,1.0,3.018915,0.28267574,11.0750145,0.0,34.90905829,0.0,0.0,325460,37.647483031640135,-2.738424741640138,-0.1174675887
46608,-0.47604018,-0.01199193,0.00021808,-0.00997926,-0.01130431,-0.06535309,-1.17727611,35.44287226,-0.01078366,-0.00063935,-0.33811756,0.47704948,0.0,0.0,0.20322553,2.0,0.0,0.0,1.22901379,-2.32241492,0.0,1.0,3.018185,0.28404256,11.09027375,0.0,34.90905829,0.0,0.0,325470,37.64768633713885,-2.738628047138853,-0.1176408333
46609,-0.47595488,-0.01200991,0.0002006,-0.00975044,-0.01129942,-0.06509875,-1.17717934,35.44301368,-0.01078344,-0.0006493,-0.33813529,0.47698427,0.0,0.0,0.20322553,2.0,0.0,0.0,1.27857401,-2.3220648,0.0,1.0,3.01782,0.28552149,11.09027375,0.0,34.90905829,0.0,0.0,325480,37.64788848522814,-2.7388301952281395,-0.1178172171
46610,-0.47587117,-0.01201886,8.408e-05,-0.00924292,-0.01129066,-0.06483521,-1.17708182,35.44315458,-0.01078333,-0.00065873,-0.33815274,0.47691931,0.0,0.0,0.20322553,2.0,0.0,0.0,1.36041709,-2.32171117,0.0,1.0,3.017455,0.28718693,11.09027375,0.0,34.90905829,0.0,0.0,325490,37.648089890432935,-2.739031600432938,-0.1179050166
46611,-0.47578727,-0.01202791,3.5e-07,-0.00888088,-0.01128339,-0.0645813,-1.17698357,35.443295,-0.01078329,-0.00066781,-0.33816996,0.47685461,0.0,0.0,0.20322553,2.0,0.0,0.0,1.40747993,-2.32136509,0.0,1.0,3.01709,0.28868456,11.09027375,0.0,34.90905829,0.0,0.0,325500,37.64829060992567,-2.7392323199256694,-0.1179937971
46612,-0.47570378,-0.01203386,-0.00011441,-0.00851796,-0.01127522,-0.06433182,-1.17688459,35.44343503,-0.01078334,-0.00067651,-0.33818693,0.47679017,0.0,0.0,0.20322553,2.0,0.0,0.0,1.44133137,-2.32101986,0.0,1.0,3.01636,0.28993242,11.09027375,0.0,34.90905829,0.0,0.0,325510,37.64849077235054,-2.7394324823505443,-0.1180521666
46613,-0.47562068,-0.01203663,-0.00025312,-0.00815518,-0.01126639,-0.06408738,-1.17678487,35.44357478,-0.01078349,-0.00068486,-0.33820362,0.47672597,0.0,0.0,0.20322553,2.0,0.0,0.0,1.5249334,-2.32063819,0.0,1.0,3.015265,0.29159753,11.09027375,0.0,34.82881409,0.0,0.0,325520,37.6486905349414,-2.8198764449414,-0.1180793403
46614,-0.47553794,-0.01203636,-0.00040359,-0.00779433,-0.01125732,-0.06384814,-1.17668443,35.44371436,-0.01078379,-0.00069284,-0.33822001,0.47666201,0.0,0.0,0.20322553,2.0,0.0,0.0,1.57802691,-2.32029532,0.0,1.0,3.014535,0.29333229,11.12079226,0.0,34.82881409,0.0,0.0,325530,37.64889005493343,-2.82007596493343,-0.1180766916
46615,-0.47545554,-0.01203353,-0.00050975,-0.00743283,-0.01124982,-0.06361452,-1.17658326,35.44385389,-0.01078423,-0.00070047,-0.33823608,0.47659829,0.0,0.0,0.21709758,2.0,0.0,0.0,1.60545668,-2.31993968,0.0,1.0,3.013805,0.29481113,11.12079226,0.0,34.82881409,0.0,0.0,325540,37.64908950385738,-2.820275413857381,-0.1180489293
46616,-0.475374,-0.01202625,-0.00058009,-0.00692704,-0.01124324,-0.06338232,-1.17648139,35.44399352,-0.01078482,-0.00070758,-0.33825181,0.47653481,0.0,0.0,0.21709758,2.0,0.0,0.0,1.62451761,-2.3195751,0.0,1.0,3.01344,0.29647225,11.13605152,0.0,34.82881409,0.0,0.0,325550,37.64928909612858,-2.820475006128575,-0.1179775125
46617,-0.47529208,-0.01202109,-0.00057071,-0.00655976,-0.01123974,-0.06316388,-1.17637881,35.44413322,-0.01078544,-0.00071434,-0.33826736,0.47647155,0.0,0.0,0.21709758,2.0,0.0,0.0,1.68217906,-2.31919682,0.0,1.0,3.013075,0.2983609,11.13605152,0.0,34.82881409,0.0,0.0,325560,37.649488788864645,-2.820674698864643,-0.1179268929
46618,-0.47521035,-0.01201436,-0.00054908,-0.00618917,-0.0112368,-0.06295442,-1.17627551,35.444273,-0.01078605,-0.00072072,-0.33828277,0.4764085,0.0,0.0,0.21709758,2.0,0.0,0.0,1.73994997,-2.31881453,0.0,1.0,3.01198,0.30031254,11.13605152,0.0,34.82881409,0.0,0.0,325570,37.64968859636065,-2.8208745063606457,-0.1178608716
46619,-0.47512882,-0.01200533,-0.00056921,-0.00582058,-0.01123261,-0.06275487,-1.17617148,35.44441293,-0.01078663,-0.00072673,-0.33829807,0.47634566,0.0,0.0,0.20322553,2.0,0.0,0.0,1.78344817,-2.31844219,0.0,1.0,3.010885,0.30219163,11.15131077,0.0,34.82881409,0.0,0.0,325580,37.649888618678546,-2.821074528678544,-0.1177722873
46620,-0.47504694,-0.01199649,-0.00055031,-0.00559917,-0.0112301,-0.06257116,-1.17606672,35.44455301,-0.01078718,-0.00073252,-0.33831328,0.47628301,0.0,0.0,0.20322553,2.0,0.0,0.0,1.83790083,-2.31808026,0.0,1.0,3.01052,0.30389607,11.15131077,0.0,34.82881409,0.0,0.0,325590,37.65008885581967,-2.821274765819666,-0.1176855669
46621,-0.47496599,-0.01198015,-0.00057415,-0.00523939,-0.01122595,-0.06239213,-1.17596124,35.44469344,-0.01078775,-0.00073795,-0.33832833,0.47622054,0.0,0.0,0.20322553,2.0,0.0,0.0,1.8785228,-2.31771757,0.0,1.0,3.01052,0.30547915,11.15131077,0.0,34.82881409,0.0,0.0,325600,37.65028959367587,-2.8214755036758703,-0.1175252715
46622,-0.47488537,-0.01195972,-0.000625,-0.00488329,-0.01122095,-0.06222392,-1.17585505,35.44483439,-0.01078835,-0.00074302,-0.33834323,0.47615824,0.0,0.0,0.20322553,2.0,0.0,0.0,1.92219286,-2.3173417,0.0,1.0,3.009425,0.3071673,11.15131077,0.0,34.82881409,0.0,0.0,325610,37.65049107525769,-2.821676985257689,-0.1173248532
46623,-0.47480507,-0.01193528,-0.00070713,-0.00452778,-0.01121499,-0.06206667,-1.17574815,35.44497602,-0.01078899,-0.00074773,-0.33835793,0.47609611,0.0,0.0,0.20322553,2.0,0.0,0.0,2.00292868,-2.31695032,0.0,1.0,3.00833,0.30908752,11.15131077,0.0,34.66801668,0.0,0.0,325620,37.65069352928308,-2.982676849283081,-0.1170850968
46624,-0.47472505,-0.0119072,-0.00080711,-0.00417298,-0.01120853,-0.06192015,-1.17564056,35.44511844,-0.0107897,-0.00075209,-0.33837241,0.47603413,0.0,0.0,0.21709758,2.0,0.0,0.0,2.02905453,-2.31658922,0.0,1.0,3.0076,0.31098788,11.16657002,0.0,34.66801668,0.0,0.0,325630,37.650897112998805,-2.982880432998805,-0.116809632
46625,-0.47464578,-0.01187375,-0.00095472,-0.00367675,-0.01120026,-0.06177917,-1.17553228,35.44526189,-0.01079057,-0.00075595,-0.33838657,0.47597229,0.0,0.0,0.21709758,2.0,0.0,0.0,2.14817525,-2.31618127,0.0,1.0,3.0076,0.31301384,11.16657002,0.0,34.66801668,0.0,0.0,325640,37.651102169483345,-2.9830854894833436,-0.1164814875
46626,-0.47456598,-0.01184274,-0.00098773,-0.00331857,-0.0111962,-0.06165555,-1.17542331,35.44540632,-0.01079154,-0.00075946,-0.33840047,0.47591059,0.0,0.0,0.21709758,2.0,0.0,0.0,2.1832334,-2.31577443,0.0,1.0,3.007235,0.31526737,11.16657002,0.0,34.66801668,0.0,0.0,325650,37.65130862727252,-2.9832919472725195,-0.1161772794
46627,-0.47448618,-0.01181103,-0.00100317,-0.00295423,-0.01119297,-0.06154253,-1.17531363,35.44555174,-0.01079254,-0.00076261,-0.33841421,0.475849,0.0,0.0,0.21709758,2.0,0.0,0.0,2.27088637,-2.31536055,0.0,1.0,3.006505,0.31751635,11.16657002,0.0,34.66801668,0.0,0.0,325660,37.65151650066984,-2.9834998206698415,-0.1158662043
46628,-0.47440632,-0.01177868,-0.00102119,-0.00258663,-0.0111899,-0.06143985,-1.17520325,35.44569817,-0.01079355,-0.00076539,-0.3384278,0.47578752,0.0,0.0,0.21709758,2.0,0.0,0.0,2.35615439,-2.31494989,0.0,1.0,3.00468,0.3198053,11.16657002,0.0,34.66801668,0.0,0.0,325670,37.651725818273725,-2.983709138273724,-0.1155488508
46629,-0.47432639,-0.01174585,-0.00104211,-0.00221662,-0.01118697,-0.06134739,-1.17509216,35.44584563,-0.01079458,-0.00076781,-0.33844126,0.47572614,0.0,0.0,0.21709758,2.0,0.0,0.0,2.43704806,-2.31453689,0.0,1.0,3.004315,0.32199588,11.16657002,0.0,34.66801668,0.0,0.0,325680,37.65193660868289,-2.9839199286828872,-0.1152267885
46630,-0.47424637,-0.01171308,-0.00106186,-0.00184152,-0.0111843,-0.06126512,-1.17498034,35.44599413,-0.01079563,-0.00076985,-0.33845459,0.47566485,0.0,0.0,0.21709758,2.0,0.0,0.0,2.49223197,-2.31412041,0.0,1.0,3.004315,0.32434969,11.16657002,0.0,34.66801668,0.0,0.0,325690,37.65214888620159,-2.9841322062015863,-0.1149053148
46631,-0.47416622,-0.01167994,-0.00107429,-0.00146062,-0.01118215,-0.06119283,-1.17486779,35.44614367,-0.01079669,-0.00077151,-0.33846779,0.47560363,0.0,0.0,0.21709758,2.0,0.0,0.0,2.55658199,-2.31369764,0.0,1.0,3.003585,0.32696123,11.15131077,0.0,34.66801668,0.0,0.0,325700,37.6523626508394,-2.9843459708393993,-0.1145802114
46632,-0.47408591,-0.01164684,-0.00110011,-0.00107389,-0.01117982,-0.06113009,-1.17475451,35.44629425,-0.01079777,-0.00077278,-0.33848088,0.47554248,0.0,0.0,0.21709758,2.0,0.0,0.0,2.62903168,-2.31325213,0.0,1.0,3.002125,0.32964978,11.15131077,0.0,34.66801668,0.0,0.0,325710,37.652577902606026,-2.9845612226060254,-0.1142555004
46633,-0.47400539,-0.0116139,-0.00116429,-0.00068215,-0.01117652,-0.06107625,-1.17464048,35.44644588,-0.01079886,-0.00077367,-0.33849386,0.47548139,0.0,0.0,0.21709758,2.0,0.0,0.0,2.69007979,-2.31279143,0.0,1.0,3.001395,0.33268269,11.15131077,0.0,34.58743849,0.0,0.0,325720,37.65279465580606,-3.0653561658060653,-0.113932359
46634,-0.47392462,-0.01158173,-0.00121358,-0.00028508,-0.01117397,-0.06103101,-1.1745257,35.44659853,-0.01080003,-0.00077416,-0.33850669,0.47542035,0.0,0.0,0.21709758,2.0,0.0,0.0,2.78069435,-2.3123336,0.0,1.0,3.00103,0.33579213,11.15131077,0.0,34.58743849,0.0,0.0,325730,37.653012867564655,-3.0655743775646584,-0.1136167713
46635,-0.47384301,-0.01155328,-0.00115885,-2.472e-05,-0.01117546,-0.06099837,-1.17441014,35.44675209,-0.01080118,-0.0007744,-0.33851947,0.47535935,0.0,0.0,0.20322553,2.0,0.0,0.0,2.88015894,-2.31187945,0.0,1.0,3.000665,0.33874874,11.15131077,0.0,34.58743849,0.0,0.0,325740,37.65323238064697,-3.0657938906469724,-0.1133376768
46636,-0.47376176,-0.01152172,-0.00112585,0.00038239,-0.01117619,-0.06096555,-1.17429379,35.44690662,-0.01080233,-0.00077423,-0.3385322,0.47529837,0.0,0.0,0.20322553,2.0,0.0,0.0,2.9791108,-2.31142217,0.0,1.0,2.999935,0.34182164,11.15131077,0.0,34.58743849,0.0,0.0,325750,37.65345328083163,-3.0660147908316304,-0.1130280732
46637,-0.47368027,-0.01149043,-0.00107225,0.00079498,-0.01117783,-0.06093827,-1.17417666,35.44706214,-0.01080343,-0.00077365,-0.33854492,0.47523743,0.0,0.0,0.20322553,2.0,0.0,0.0,3.05931865,-2.31095864,0.0,1.0,2.998475,0.34503982,11.15131077,0.0,34.58743849,0.0,0.0,325760,37.65367559671796,-3.0662371067179635,-0.1127211183
46638,-0.47359855,-0.01145944,-0.0010058,0.00121531,-0.01118011,-0.06091652,-1.17405873,35.44721864,-0.01080449,-0.00077265,-0.33855767,0.47517652,0.0,0.0,0.20322553,2.0,0.0,0.0,3.12980699,-2.31049412,0.0,1.0,2.997015,0.34824929,11.15131077,0.0,34.58743849,0.0,0.0,325770,37.653899314020514,-3.066460824020517,-0.1124171064
46639,-0.47351655,-0.01142874,-0.00093295,0.00164197,-0.0111828,-0.06090043,-1.17393999,35.4473761,-0.01080548,-0.00077123,-0.33857047,0.47511562,0.0,0.0,0.20322553,2.0,0.0,0.0,3.19645342,-2.31001556,0.0,1.0,2.996285,0.35145112,11.15131077,0.0,34.58743849,0.0,0.0,325780,37.65412440415864,-3.06668591415864,-0.1121159394
46640,-0.47343482,-0.01139622,-0.00092746,0.00221452,-0.01118302,-0.06088541,-1.17382046,35.4475346,-0.01080644,-0.00076923,-0.33858325,0.47505475,0.0,0.0,0.21709758,2.0,0.0,0.0,3.25167829,-2.30951952,0.0,1.0,2.99592,0.35498814,11.15131077,0.0,34.58743849,0.0,0.0,325790,37.65435098150266,-3.066912491502663,-0.1117969182
46641,-0.47335211,-0.01136818,-0.00086702,0.00265142,-0.01118552,-0.06088395,-1.1737001,35.447694,-0.01080736,-0.00076681,-0.33859607,0.47499387,0.0,0.0,0.21709758,2.0,0.0,0.0,3.36051659,-2.30902222,0.0,1.0,2.99519,0.35863145,11.15131077,0.0,34.58743849,0.0,0.0,325800,37.65457884593075,-3.0671403559307535,-0.1115218458
46642,-0.47326843,-0.01134407,-0.00073775,0.00295173,-0.01119077,-0.06089505,-1.17357888,35.44785416,-0.01080816,-0.00076408,-0.33860901,0.47493299,0.0,0.0,0.20322553,2.0,0.0,0.0,3.47703049,-2.30851693,0.0,1.0,2.994095,0.36215234,11.15131077,0.0,34.58743849,0.0,0.0,325810,37.65480779731924,-3.0673693073192467,-0.1112853267
46643,-0.47318502,-0.01131663,-0.00066633,0.00339383,-0.0111939,-0.0609068,-1.17345679,35.44801513,-0.01080888,-0.00076091,-0.33862205,0.47487211,0.0,0.0,0.20322553,2.0,0.0,0.0,3.50442428,-2.30800834,0.0,1.0,2.992635,0.36582721,11.15131077,0.0,34.50677409,0.0,0.0,325820,37.655037907151794,-3.148263817151794,-0.1110161403
46644,-0.47310132,-0.01128902,-0.00060304,0.0038349,-0.01119677,-0.06092545,-1.17333384,35.44817694,-0.01080952,-0.00075731,-0.33863517,0.4748112,0.0,0.0,0.20322553,2.0,0.0,0.0,3.61850848,-2.30749868,0.0,1.0,2.99154,0.36963615,11.15131077,0.0,34.50677409,0.0,0.0,325830,37.65526921832226,-3.14849512832226,-0.1107452862
46645,-0.47301734,-0.01126121,-0.00054671,0.00427969,-0.01119943,-0.06095133,-1.17321002,35.4483396,-0.01081011,-0.00075325,-0.33864836,0.47475028,0.0,0.0,0.20322553,2.0,0.0,0.0,3.74189617,-2.30697402,0.0,1.0,2.990445,0.37345073,11.15131077,0.0,34.50677409,0.0,0.0,325840,37.65550174513436,-3.1487276551343584,-0.1104724701
46646,-0.47293307,-0.0112332,-0.00049584,0.00472816,-0.01120191,-0.0609846,-1.1730853,35.44850311,-0.01081063,-0.00074875,-0.33866163,0.47468932,0.0,0.0,0.20322553,2.0,0.0,0.0,3.8654848,-2.30643353,0.0,1.0,2.98935,0.37733419,11.16657002,0.0,34.50677409,0.0,0.0,325850,37.6557354875967,-3.1489613975967004,-0.110197692
