STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
35593,-0.31777342,0.03931534,-0.00506312,-0.03676195,-0.00562831,0.07252757,-1.17034777,30.52012609,-0.0068,-0.00467193,-0.32211391,0.36909162,0.0,0.0,0.25871373,2.0,0.0,0.0,0.72050477,-2.08976542,0.0,1.0,2.81634,-0.16693283,13.76064333,0.0,34.87987277,0.0,0.0,298950,30.86211026567784,4.017762504322157,0.3856834853999999
35594,-0.31782702,0.03934065,-0.00500787,-0.03649033,-0.00562119,0.07249263,-1.17030353,30.52194911,-0.00680501,-0.00470855,-0.32211044,0.36916413,0.0,0.0,0.25871373,2.0,0.0,0.0,0.76806368,-2.08987906,0.0,1.0,2.81634,-0.16597059,13.77590258,0.0,34.87987277,0.0,0.0,298960,30.864530195824535,4.015342574175463,0.3859317765
35595,-0.31788148,0.0393704,-0.00500681,-0.03622861,-0.00561242,0.07245971,-1.17025829,30.52377316,-0.00680997,-0.00474489,-0.3221066,0.3692366,0.0,0.0,0.25871373,2.0,0.0,0.0,0.76007831,-2.09001755,0.0,1.0,2.81707,-0.16485704,13.77590258,0.0,34.87987277,0.0,0.0,298970,30.866951562146298,4.012921207853701,0.386223624
35596,-0.31793682,0.03940322,-0.00493964,-0.03597466,-0.0056059,0.07242697,-1.1702121,30.52559841,-0.00681491,-0.00478098,-0.32210234,0.36930903,0.0,0.0,0.25871373,2.0,0.0,0.0,0.76261652,-2.0901607,0.0,1.0,2.81853,-0.16389815,13.76064333,0.0,34.87987277,0.0,0.0,298980,30.86937459043897,4.010498179561033,0.3865455882
35597,-0.31799301,0.03943484,-0.00487425,-0.03572527,-0.00559914,0.07239414,-1.17016498,30.52742494,-0.00681979,-0.00481682,-0.32209773,0.36938144,0.0,0.0,0.24484168,2.0,0.0,0.0,0.78016842,-2.09029068,0.0,1.0,2.818165,-0.16291526,13.76064333,0.0,34.87987277,0.0,0.0,298990,30.87179938704362,4.008073382956379,0.3868557804
35598,-0.31804939,0.03947003,-0.00478321,-0.03560939,-0.0055943,0.07235812,-1.17011694,30.5292526,-0.00682455,-0.00485254,-0.32209285,0.36945381,0.0,0.0,0.25871373,2.0,0.0,0.0,0.77599528,-2.09043437,0.0,1.0,2.818165,-0.161995,13.76064333,0.0,34.87987277,0.0,0.0,299000,30.87422575296568,4.00564701703432,0.3872009943
35599,-0.31810784,0.0395135,-0.00479985,-0.03523739,-0.00558528,0.07232804,-1.17006806,30.53108181,-0.00682931,-0.00488789,-0.32208755,0.36952615,0.0,0.0,0.25871373,2.0,0.0,0.0,0.81603299,-2.09056908,0.0,1.0,2.8178,-0.16117779,13.76064333,0.0,34.87987277,0.0,0.0,299010,30.876654245941225,4.003218524058774,0.387627435
35600,-0.31816642,0.03955365,-0.00471714,-0.03499512,-0.00558014,0.07229114,-1.17001833,30.53291254,-0.00683404,-0.004923,-0.32208188,0.36959845,0.0,0.0,0.25871373,2.0,0.0,0.0,0.78741157,-2.09072271,0.0,1.0,2.817435,-0.16050326,13.76064333,0.0,34.87987277,0.0,0.0,299020,30.879084826316262,4.000787943683736,0.3880213065
35601,-0.31822569,0.03959288,-0.00458157,-0.03475006,-0.005577,0.07225034,-1.1699678,30.53474475,-0.00683869,-0.00495786,-0.32207593,0.36967072,0.0,0.0,0.24484168,2.0,0.0,0.0,0.79428779,-2.09086737,0.0,1.0,2.818165,-0.15989959,13.76064333,0.0,34.87987277,0.0,0.0,299030,30.881517441155232,3.998355328844766,0.3884061528
35602,-0.3182846,0.03962822,-0.00431912,-0.03469839,-0.00557609,0.07220145,-1.16991643,30.53657831,-0.00684313,-0.00499268,-0.32206975,0.36974294,0.0,0.0,0.24484168,2.0,0.0,0.0,0.77471458,-2.09101327,0.0,1.0,2.81853,-0.15929118,13.76064333,0.0,34.87987277,0.0,0.0,299040,30.88395191801903,3.9959208519809697,0.3887528382
