STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
36813,-0.30785303,0.16687083,-0.00076741,0.0171357,-0.00786589,0.08727977,-1.21644646,30.21121883,-0.00700131,-0.01002551,-0.4118007,0.35715053,0.0,0.0,0.23096963,2.0,0.0,0.0,1.15848411,-2.13740259,0.0,1.0,2.895545,0.02084941,25.60182501,0.0,34.98000973,0.0,0.0,328840,30.453052196611154,4.526957533388845,1.6370028423
36814,-0.3079708,0.16686468,-0.00079634,0.01686717,-0.00786408,0.08677918,-1.21652418,30.21754945,-0.00700199,-0.01000851,-0.41187922,0.35723756,0.0,0.0,0.21709758,2.0,0.0,0.0,1.13986323,-2.13733599,0.0,1.0,2.895545,0.02216391,25.58656575,0.0,34.98000973,0.0,0.0,328850,30.461415421036317,4.5185943089636815,1.6369425108
36815,-0.30808728,0.16684187,-0.00070641,0.01647118,-0.00786622,0.08625306,-1.21660116,30.22387966,-0.00700265,-0.00999192,-0.41195764,0.35732408,0.0,0.0,0.21709758,2.0,0.0,0.0,1.08771084,-2.13727869,0.0,1.0,2.897735,0.02350594,25.58656575,0.0,34.98000973,0.0,0.0,328860,30.469778934174123,4.510230795825876,1.6367187447
36816,-0.30820378,0.16680919,-0.00062316,0.01622487,-0.00786813,0.08571108,-1.21667739,30.23020906,-0.00700327,-0.00997557,-0.41203599,0.35741006,0.0,0.0,0.21709758,2.0,0.0,0.0,1.06157699,-2.13722454,0.0,1.0,2.8981,0.0246465,25.5713065,0.0,34.98000973,0.0,0.0,328870,30.478142207302017,4.501867522697985,1.6363981539
36817,-0.30831966,0.16676331,-0.00048596,0.01599213,-0.00787177,0.08514944,-1.21675288,30.23653721,-0.00700382,-0.00995947,-0.41211432,0.35749549,0.0,0.0,0.21709758,2.0,0.0,0.0,1.03515257,-2.13717333,0.0,1.0,2.897005,0.02563252,25.5713065,0.0,34.98000973,0.0,0.0,328880,30.486504658626284,4.493505071373715,1.6359480711
36818,-0.30843495,0.16669183,-0.00038207,0.01577504,-0.00787297,0.08456902,-1.21682762,30.24286365,-0.00700424,-0.00994358,-0.41219269,0.35758035,0.0,0.0,0.23096963,2.0,0.0,0.0,1.00953163,-2.13713442,0.0,1.0,2.895545,0.026523,25.55604724,0.0,34.98000973,0.0,0.0,328890,30.4948656796892,4.485144050310797,1.6352468523
36819,-0.3085502,0.16662382,-0.00032257,0.01571315,-0.00787388,0.08397371,-1.21690163,30.24918756,-0.00700461,-0.00992777,-0.41227097,0.35766462,0.0,0.0,0.23096963,2.0,0.0,0.0,1.01693336,-2.13708389,0.0,1.0,2.894815,0.02754773,25.54078799,0.0,34.98000973,0.0,0.0,328900,30.503224185945328,4.476785544054671,1.6345796742
36820,-0.30866384,0.16654009,-0.00029968,0.01550611,-0.00787266,0.08335741,-1.21697488,30.25550889,-0.0070049,-0.00991216,-0.41234923,0.35774829,0.0,0.0,0.23096963,2.0,0.0,0.0,0.99737859,-2.1370351,0.0,1.0,2.89445,0.02875371,25.52552873,0.0,34.98000973,0.0,0.0,328910,30.51158011030373,4.468429619696273,1.6337582829
36821,-0.30877699,0.16644526,-0.00037363,0.01533961,-0.00786912,0.08272245,-1.21704736,30.26182717,-0.00700517,-0.00989673,-0.41242737,0.35783133,0.0,0.0,0.23096963,2.0,0.0,0.0,0.95121368,-2.13698152,0.0,1.0,2.89445,0.02988124,25.49501022,0.0,34.98000973,0.0,0.0,328920,30.51993283038322,4.46007689961678,1.6328280006000002
36822,-0.30888936,0.1663398,-0.00057138,0.01518548,-0.00786143,0.08207246,-1.21711906,30.26814203,-0.00700552,-0.00988147,-0.4125053,0.35791372,0.0,0.0,0.23096963,2.0,0.0,0.0,0.8817466,-2.1369104,0.0,1.0,2.894085,0.03099611,25.49501022,0.0,34.98000973,0.0,0.0,328930,30.52828185577595,4.451727874224048,1.631793438
