STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
47333,-0.03693953,0.10478659,-8.557e-05,-0.22589864,-0.00148157,-0.23948155,-0.549469,22.34141558,7.86e-06,0.00785052,-0.25216396,0.12037361,0.0,0.0,0.16160938,2.0,0.0,0.0,-34.95402124,-0.84917205,0.0,1.0,-0.25185,0.41317038,18.15530869,0.0,34.98698749,0.0,0.0,455710,20.69863536268627,14.288352127313726,1.0279564479
47334,-0.03697307,0.10484049,3.669e-05,-0.22923117,-0.00148192,-0.23578267,-0.54808914,22.34518327,7.78e-06,0.00762291,-0.25221215,0.12013599,0.0,0.0,0.14773733,2.0,0.0,0.0,-34.59974638,-0.84969795,0.0,1.0,-0.207685,0.37989834,18.15530869,0.0,34.98698749,0.0,0.0,455720,20.70299826334507,14.283989226654928,1.0284852069
47335,-0.03701094,0.1048817,0.00017143,-0.23257751,-0.00148302,-0.23206994,-0.54671529,22.34895229,7.85e-06,0.00739193,-0.25226055,0.11990207,0.0,0.0,0.14773733,2.0,0.0,0.0,-34.20740003,-0.85022828,0.0,1.0,-0.161695,0.34701588,18.15530869,0.0,34.98698749,0.0,0.0,455730,20.707362998415896,14.279624491584102,1.028889477
47336,-0.03705412,0.10491987,0.00013712,-0.23575228,-0.00147699,-0.22834486,-0.54534756,22.35272249,7.97e-06,0.00715776,-0.25230897,0.11967186,0.0,0.0,0.18935348,2.0,0.0,0.0,-33.88013238,-0.85082837,0.0,1.0,-0.110595,0.31420917,18.14004944,0.0,34.98698749,0.0,0.0,455740,20.71172939448444,14.275258095515555,1.0292639247
47337,-0.03710205,0.10494918,-4.858e-05,-0.23881452,-0.00146499,-0.22460903,-0.54398605,22.35649366,7.99e-06,0.0069205,-0.25235722,0.11944539,0.0,0.0,0.18935348,2.0,0.0,0.0,-33.36379964,-0.85134124,0.0,1.0,-0.05548,0.28201258,18.14004944,0.0,34.98698749,0.0,0.0,455750,20.716097208594533,14.270890281405464,1.0295514558
47338,-0.0371534,0.10495817,-0.00021664,-0.24194123,-0.00145458,-0.22086329,-0.54263079,22.36026515,7.89e-06,0.00668009,-0.2524053,0.11922266,0.0,0.0,0.18935348,2.0,0.0,0.0,-32.90401751,-0.85189564,0.0,1.0,0.00219,0.25068636,18.14004944,0.0,34.98698749,0.0,0.0,455760,20.720465688059623,14.266521801940376,1.0296396477
47339,-0.03720882,0.10495273,-0.00038656,-0.2450084,-0.00144393,-0.21710866,-0.54128185,22.36403642,7.62e-06,0.00643658,-0.25245313,0.11900369,0.0,0.0,0.20322553,2.0,0.0,0.0,-32.23068001,-0.85232185,0.0,1.0,0.063145,0.22056579,18.14004944,0.0,34.98698749,0.0,0.0,455770,20.72483420741478,14.262153282585215,1.0295862813
47340,-0.03726855,0.10493482,-0.00059119,-0.24795921,-0.00143137,-0.21334544,-0.53993929,22.36780706,7.12e-06,0.00619009,-0.25250064,0.11878847,0.0,0.0,0.20322553,2.0,0.0,0.0,-31.50357294,-0.85274766,0.0,1.0,0.11826,0.19199353,18.14004944,0.0,34.98698749,0.0,0.0,455780,20.72920229162941,14.257785198370591,1.0294105842
47341,-0.03733175,0.10489143,-0.00072443,-0.25091479,-0.0014211,-0.20957373,-0.53860316,22.37157642,6.44e-06,0.00594062,-0.25254788,0.11857701,0.0,0.0,0.20322553,2.0,0.0,0.0,-30.65152353,-0.85309925,0.0,1.0,0.170455,0.16469402,18.14004944,0.0,34.98698749,0.0,0.0,455790,20.73356918748952,14.25341830251048,1.0289849283
47342,-0.03739879,0.1048378,-0.00082054,-0.25381134,-0.00141255,-0.20579399,-0.53727351,22.37534368,5.63e-06,0.00568821,-0.25259487,0.11836934,0.0,0.0,0.20322553,2.0,0.0,0.0,-29.78384644,-0.85346191,0.0,1.0,0.23214,0.13848141,18.14004944,0.0,34.98698749,0.0,0.0,455800,20.737933944609075,14.249053545390922,1.028458818
