STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
109223,0.0154236,0.03209307,0.03384464,0.68750238,0.00807174,-0.61431518,0.53050337,29.57760132,0.00088057,-0.0279981,-0.29384961,-0.07941252,0.0,0.0,0.21709758,2.0,0.0,0.0,21.66650707,0.65570682,0.0,-1.0,0.0,1.83693179,11.16657002,0.0,34.93363496,0.0,0.0,461760,29.620196902531227,5.3134380574687725,0.3148330167
109224,0.01531656,0.03193451,0.03361655,0.68565981,0.00798711,-0.61283045,0.52869607,29.57877377,0.00091433,-0.0273116,-0.2935779,-0.08002608,0.0,0.0,0.20322553,2.0,0.0,0.0,21.5527854,0.65814114,0.0,-1.0,0.0,1.8574103,11.16657002,0.0,34.93363496,0.0,0.0,461770,29.621730340983405,5.311904619016595,0.3132775431
109225,0.01523316,0.03176701,0.03348514,0.68405716,0.00789615,-0.6113198,0.52686699,29.57994058,0.00094794,-0.02662678,-0.29331077,-0.08063813,0.0,0.0,0.20322553,2.0,0.0,0.0,21.4446027,0.66059902,0.0,-1.0,0.0,1.87785103,11.16657002,0.0,34.93363496,0.0,0.0,461780,29.62325643120123,5.310378528798765,0.3116343681
109226,0.01517351,0.03160736,0.0332973,0.68258809,0.00780627,-0.60978955,0.52501701,29.58110176,0.00098137,-0.02594352,-0.2930482,-0.08124866,0.0,0.0,0.20322553,2.0,0.0,0.0,21.28515875,0.66307094,0.0,-1.0,0.0,1.898253,11.16657002,0.0,34.93363496,0.0,0.0,461790,29.62477518585515,5.3088597741448496,0.3100682016
109227,0.01513735,0.03145094,0.03309548,0.68128939,0.00771552,-0.6082415,0.523147,29.5822575,0.00101462,-0.02526165,-0.29279022,-0.08185765,0.0,0.0,0.21709758,2.0,0.0,0.0,21.09375107,0.66554202,0.0,-1.0,0.0,1.91850508,11.16657002,0.0,34.93363496,0.0,0.0,461800,29.626286853054356,5.307348106945643,0.3085337213999999
109228,0.01512459,0.03130118,0.0328196,0.68012502,0.0076269,-0.60667912,0.52125784,29.58340803,0.00104761,-0.02458103,-0.29253677,-0.08246509,0.0,0.0,0.21709758,2.0,0.0,0.0,20.83649199,0.66800969,0.0,-1.0,0.0,1.93845488,11.16657002,0.0,34.93363496,0.0,0.0,461810,29.627791733248145,5.305843226751854,0.3070645758
109229,0.01513486,0.03115172,0.03259166,0.67916675,0.00753465,-0.60510291,0.51935039,29.58455338,0.00108036,-0.02390145,-0.29228791,-0.08307095,0.0,0.0,0.21709758,2.0,0.0,0.0,20.56872531,0.67049179,0.0,-1.0,0.0,1.95825245,11.16657002,0.0,34.93363496,0.0,0.0,461820,29.629289865304617,5.304345094695382,0.3055983732
109230,0.01516805,0.03100677,0.03236563,0.6783789,0.00744127,-0.60351627,0.51742552,29.58569367,0.00111289,-0.02322275,-0.29204369,-0.08367523,0.0,0.0,0.21709758,2.0,0.0,0.0,20.3382267,0.67299761,0.0,-1.0,0.0,1.97794536,11.16657002,0.0,34.93363496,0.0,0.0,461830,29.630781405820724,5.302853554179276,0.3041764137
109231,0.01522398,0.03086725,0.03214053,0.67776093,0.00734688,-0.60192137,0.51548408,29.58682907,0.00114518,-0.02254476,-0.29180415,-0.08427792,0.0,0.0,0.21709758,2.0,0.0,0.0,20.09389158,0.67551885,0.0,-1.0,0.0,1.99757265,11.16657002,0.0,34.93363496,0.0,0.0,461840,29.63226657680994,5.301368383190059,0.3028077225
109232,0.01530247,0.03073399,0.03191559,0.6773103,0.00725162,-0.60032005,0.5135269,29.58795978,0.00117726,-0.0218673,-0.2915693,-0.08487901,0.0,0.0,0.21709758,2.0,0.0,0.0,19.85847642,0.67804262,0.0,-1.0,0.0,2.01700688,11.16657002,0.0,34.93363496,0.0,0.0,461850,29.6337456395461,5.2998893204539,0.3015004419
109233,0.01540335,0.03060774,0.03169036,0.67702392,0.00715559,-0.5987139,0.51155484,29.58908603,0.0012091,-0.02119021,-0.29133916,-0.08547849,0.0,0.0,0.20322553,2.0,0.0,0.0,19.61824934,0.68057132,0.0,-1.0,0.0,2.03608193,11.16657002,0.0,34.85713951,0.0,0.0,461860,29.635218894566755,5.221920615433248,0.3002619294
109234,0.01552633,0.03048678,0.03152835,0.67693701,0.00705589,-0.59710369,0.50956873,29.590208,0.00124078,-0.02051329,-0.29111385,-0.08607636,0.0,0.0,0.20322553,2.0,0.0,0.0,19.37789167,0.68311626,0.0,-1.0,0.0,2.05487918,11.16657002,0.0,34.85713951,0.0,0.0,461870,29.636686577025117,5.2204529329748866,0.2990753118
109235,0.01567141,0.03037659,0.03130597,0.67697553,0.00695875,-0.59549255,0.50756939,29.59132607,0.00127225,-0.01983641,-0.29089332,-0.08667262,0.0,0.0,0.20322553,2.0,0.0,0.0,19.11110989,0.68567985,0.0,-1.0,0.0,2.07358438,11.16657002,0.0,34.85713951,0.0,0.0,461880,29.63814918372524,5.2189903262747634,0.2979943479
109236,0.0158383,0.03027899,0.03108495,0.67717486,0.00686086,-0.59388078,0.50555765,29.59244054,0.00130351,-0.01915942,-0.29067755,-0.08726727,0.0,0.0,0.20322553,2.0,0.0,0.0,18.82294945,0.68825198,0.0,-1.0,0.0,2.09221233,11.16657002,0.0,34.85713951,0.0,0.0,461890,29.639607106852377,5.217532403147626,0.2970368919
109237,0.01602681,0.03019176,0.0308651,0.6775304,0.00676253,-0.59226927,0.50353431,29.59355186,0.00133454,-0.01848215,-0.29046654,-0.08786031,0.0,0.0,0.20322553,2.0,0.0,0.0,18.49642751,0.69081007,0.0,-1.0,0.0,2.11047236,11.16657002,0.0,34.85713951,0.0,0.0,461900,29.64106093485199,5.216078575148014,0.2961811656
109238,0.01623673,0.03011491,0.03065155,0.6780375,0.00666367,-0.59065871,0.5015002,29.5946604,0.00136536,-0.01780445,-0.29026032,-0.08845173,0.0,0.0,0.18935348,2.0,0.0,0.0,18.1431694,0.69335717,0.0,-1.0,0.0,2.12820055,11.16657002,0.0,34.85713951,0.0,0.0,461910,29.642511151552924,5.214628358447079,0.2954272671
109239,0.01646776,0.03004594,0.03051211,0.67873015,0.00656118,-0.58904908,0.4994561,29.59576642,0.00139602,-0.01712614,-0.29005897,-0.08904154,0.0,0.0,0.16160938,2.0,0.0,0.0,17.80132802,0.69591616,0.0,-1.0,0.0,2.14555415,11.16657002,0.0,34.85713951,0.0,0.0,461920,29.64395809691036,5.213181413089643,0.2947506714
109240,0.01671973,0.02998716,0.03045825,0.67960526,0.00645475,-0.58744131,0.4974028,29.59687023,0.0014266,-0.01644701,-0.28986262,-0.08962974,0.0,0.0,0.16160938,2.0,0.0,0.0,17.466066,0.6984948,0.0,-1.0,0.0,2.1627759,11.15131077,0.0,34.85713951,0.0,0.0,461930,29.64540217631768,5.211737333682322,0.2941740396
109241,0.01699274,0.02994969,0.0302741,0.68054657,0.00635432,-0.58583821,0.49534109,29.5979725,0.00145706,-0.01576702,-0.28967117,-0.09021634,0.0,0.0,0.16160938,2.0,0.0,0.0,17.13153168,0.70108681,0.0,-1.0,0.0,2.17985845,11.15131077,0.0,34.85713951,0.0,0.0,461940,29.64684426618583,5.210295243814169,0.2938064589
109242,0.01728639,0.02992639,0.03002874,0.68162371,0.00625583,-0.58423836,0.49327176,29.5990738,0.00148733,-0.01508603,-0.28948454,-0.09080133,0.0,0.0,0.18935348,2.0,0.0,0.0,16.81221118,0.70368659,0.0,-1.0,0.0,2.19660004,11.15131077,0.0,34.85713951,0.0,0.0,461950,29.64828511215465,5.208854397845357,0.2935778859
109243,0.01760063,0.02992051,0.02967852,0.68275065,0.00616261,-0.58264232,0.49119558,29.60017476,0.00151727,-0.01440397,-0.28930248,-0.09138473,0.0,0.0,0.16160938,2.0,0.0,0.0,16.48664838,0.70629303,0.0,-1.0,0.0,2.21298183,11.13605152,0.0,34.70408225,0.0,0.0,461960,29.649725538416966,5.054356711583033,0.2935202031
109244,0.01793457,0.02991124,0.02959754,0.68415011,0.0060568,-0.58104603,0.4891133,29.60127542,0.00154703,-0.01372057,-0.28912529,-0.09196653,0.0,0.0,0.16160938,2.0,0.0,0.0,16.15622171,0.70889952,0.0,-1.0,0.0,2.2290514,11.13605152,0.0,34.70408225,0.0,0.0,461970,29.65116559728434,5.052916652715659,0.2934292644
109245,0.01828855,0.02991634,0.02941606,0.68558844,0.00595624,-0.57945391,0.48702568,29.60237619,0.00157664,-0.01303579,-0.28895294,-0.09254673,0.0,0.0,0.16160938,2.0,0.0,0.0,15.79289514,0.71150078,0.0,-1.0,0.0,2.24475145,11.15131077,0.0,34.70408225,0.0,0.0,461980,29.65260582517763,5.0514764248223685,0.2934792954
109246,0.01866213,0.02993206,0.02932799,0.68713952,0.00585243,-0.57786338,0.48493346,29.60347739,0.00160608,-0.01234952,-0.28878539,-0.09312534,0.0,0.0,0.16160938,2.0,0.0,0.0,15.41833285,0.71410754,0.0,-1.0,0.0,2.26011509,11.15131077,0.0,34.70408225,0.0,0.0,461990,29.65404664079763,5.050035609202368,0.2936335086
109247,0.01905509,0.02995456,0.02937908,0.68879611,0.00574417,-0.57627304,0.48283737,29.60457936,0.00163542,-0.01166164,-0.28862273,-0.09370236,0.0,0.0,0.16160938,2.0,0.0,0.0,15.02925794,0.71671717,0.0,-1.0,0.0,2.27527873,11.15131077,0.0,34.70408225,0.0,0.0,462000,29.655488489043123,5.0485937609568765,0.2938542336
