STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
29173,0.16500886,-0.04924474,-0.53343382,-0.36868692,-0.0215158,-0.23616487,0.38826839,42.75800996,-0.06737788,-0.01320034,-0.83900785,-0.1464943,0.0,0.0,0.09224913,2.0,0.0,0.0,7.96822251,0.69212531,0.0,1.0,-2.187445,-0.58076797,3.23175756,0.0,34.99966608,0.0,0.0,279510,48.658460268029465,-13.658794188029468,-0.4830908994
29174,0.16436173,-0.05200542,-0.53143289,-0.36465781,-0.02131636,-0.24506472,0.38782584,42.75633402,-0.0679062,-0.01356709,-0.83687129,-0.14673546,0.0,0.0,0.09224913,2.0,0.0,0.0,8.11171839,0.69183632,0.0,1.0,-2.19365,-0.57328742,2.68242439,0.0,34.99966608,0.0,0.0,279520,48.655810648145845,-13.656144568145848,-0.5101731702
29175,0.16377816,-0.05466427,-0.52893045,-0.35972316,-0.02113429,-0.25232201,0.38735161,42.75456287,-0.06843239,-0.01392937,-0.83470527,-0.14698472,0.0,0.0,0.07837708,2.0,0.0,0.0,8.19243921,0.69153426,0.0,1.0,-2.20095,-0.56541011,2.16360973,0.0,34.99966608,0.0,0.0,279530,48.653010566850405,-13.653344486850408,-0.5362564887000001
29176,0.16326257,-0.05723705,-0.52636224,-0.35388722,-0.020957,-0.25782122,0.38684773,42.75269973,-0.06895592,-0.01428624,-0.8325106,-0.14724035,0.0,0.0,0.07837708,2.0,0.0,0.0,8.24865367,0.69125319,0.0,1.0,-2.20752,-0.55727091,1.67531358,0.0,34.99966608,0.0,0.0,279540,48.65006512506802,-13.65039904506802,-0.5614954605
29177,0.16281804,-0.05973451,-0.52357579,-0.34727389,-0.02079038,-0.26150141,0.38631644,42.75074756,-0.06947681,-0.0146369,-0.83028747,-0.14750059,0.0,0.0,0.07837708,2.0,0.0,0.0,8.38641914,0.69105967,0.0,1.0,-2.213725,-0.54831606,1.67531358,0.0,34.99966608,0.0,0.0,279550,48.64697901274586,-13.647312932745862,-0.5859955431
29178,0.16244619,-0.06218317,-0.51942082,-0.33987572,-0.02067218,-0.2633211,0.38576013,42.7487086,-0.06999481,-0.01498055,-0.82803645,-0.14776356,0.0,0.0,0.07837708,2.0,0.0,0.0,8.55656081,0.69084777,0.0,1.0,-2.218835,-0.53884837,1.20227668,0.0,34.99966608,0.0,0.0,279560,48.643755781680014,-13.644089701680016,-0.6100168977
29179,0.16214803,-0.0646031,-0.51289915,-0.3317389,-0.02063459,-0.26326319,0.38518134,42.74658427,-0.07050857,-0.01531644,-0.82575941,-0.1480274,0.0,0.0,0.05063298,2.0,0.0,0.0,8.74364802,0.69063302,0.0,1.0,-2.222485,-0.52967522,0.71398053,0.0,34.99966608,0.0,0.0,279570,48.64039768754444,-13.640731607544446,-0.633756411
29180,0.16192346,-0.06699645,-0.50557308,-0.32274739,-0.02063134,-0.26131401,0.38458267,42.7443752,-0.07101561,-0.01564371,-0.82345968,-0.14829021,0.0,0.0,0.05063298,2.0,0.0,0.0,8.9227599,0.69042972,0.0,1.0,-2.22723,-0.52065356,0.25620289,0.0,34.99966608,0.0,0.0,279580,48.63690573746017,-13.63723965746017,-0.6572351745
29181,0.16177278,-0.06933733,-0.49856693,-0.31322303,-0.02062103,-0.25753266,0.38396685,42.74208267,-0.07151536,-0.01596176,-0.82113835,-0.14855013,0.0,0.0,0.07837708,2.0,0.0,0.0,9.07531508,0.69020869,0.0,1.0,-2.232705,-0.51180188,0.0,0.0,34.99966608,0.0,0.0,279590,48.6332819663122,-13.6336158863122,-0.6801992073
29182,0.16169322,-0.07164356,-0.49178209,-0.30341241,-0.02061332,-0.25203721,0.38333663,42.73970856,-0.07200816,-0.0162701,-0.81879546,-0.14880534,0.0,0.0,0.07837708,2.0,0.0,0.0,9.25602335,0.69002065,0.0,1.0,-2.239275,-0.50304708,0.0,0.0,34.99966608,0.0,0.0,279600,48.629529357547874,-13.629863277547877,-0.7028233236
