STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
22783,0.20321545,-0.07544708,0.01444414,-0.00189641,-0.00090953,0.23212336,0.8210812,30.48809714,-0.00148789,-0.00940178,-0.22826813,-0.25468544,0.0,0.0,0.11999323,2.0,0.0,0.0,-5.10647872,1.28640955,0.0,1.0,-1.46438,-1.3247079,0.0,0.0,34.93428334,0.0,0.0,207750,30.819605332628186,4.114678007371815,-0.7401358548
22784,0.20297526,-0.07538257,0.01448636,-0.00293131,-0.00094453,0.23264373,0.82049483,30.48564324,-0.0014734,-0.00940415,-0.22824807,-0.25445308,0.0,0.0,0.11999323,2.0,0.0,0.0,-5.12163743,1.28496273,0.0,1.0,-1.487375,-1.32922987,0.0,0.0,34.93428334,0.0,0.0,207760,30.816349691217304,4.117933648782696,-0.7395030117
22785,0.20273443,-0.07531727,0.01452595,-0.00396699,-0.00097936,0.23316548,0.81990768,30.48319128,-0.00145888,-0.00940755,-0.22822968,-0.25422021,0.0,0.0,0.11999323,2.0,0.0,0.0,-5.11812233,1.28351533,0.0,1.0,-1.52424,-1.33348791,0.0,0.0,34.93428334,0.0,0.0,207770,30.81309674827249,4.121186591727515,-0.7388624187000001
22786,0.20249317,-0.07525169,0.01456405,-0.00504444,-0.00101413,0.23369032,0.81931974,30.4807413,-0.00144432,-0.009412,-0.22821298,-0.2539868,0.0,0.0,0.11999323,2.0,0.0,0.0,-5.19744043,1.28201455,0.0,1.0,-1.53227,-1.3380445,0.0,0.0,34.93428334,0.0,0.0,207780,30.80984655656181,4.124436783438192,-0.7382190789
22787,0.20225141,-0.07518124,0.01461316,-0.00618266,-0.00104972,0.23422003,0.81873104,30.47829329,-0.00142973,-0.00941758,-0.22819795,-0.25375288,0.0,0.0,0.11999323,2.0,0.0,0.0,-5.18177369,1.28062013,0.0,1.0,-1.469855,-1.34198895,0.0,0.0,34.93428334,0.0,0.0,207790,30.806599102518287,4.127684237481713,-0.7375279644
22788,0.20200897,-0.07511647,0.01464922,-0.00737377,-0.00108433,0.23475582,0.81814154,30.47584742,-0.00141509,-0.00942434,-0.22818462,-0.25351841,0.0,0.0,0.11999323,2.0,0.0,0.0,-5.40471981,1.27899978,0.0,1.0,-1.42277,-1.34633957,0.0,0.0,34.93428334,0.0,0.0,207800,30.80335461134593,4.1309287286540695,-0.7368925707000001
22789,0.20176561,-0.07505273,0.01468384,-0.00859532,-0.00111875,0.23529767,0.81755124,30.47340348,-0.00140041,-0.0094323,-0.22817296,-0.25328341,0.0,0.0,0.10612118,2.0,0.0,0.0,-5.57095009,1.27741854,0.0,1.0,-1.424595,-1.35186103,0.0,0.0,34.93428334,0.0,0.0,207810,30.80011280416648,4.134170535833523,-0.7362672813
22790,0.20152092,-0.07499279,0.01478097,-0.00974666,-0.00115591,0.23584679,0.81696011,30.47096133,-0.00138566,-0.00944139,-0.22816304,-0.25304787,0.0,0.0,0.10612118,2.0,0.0,0.0,-5.58311895,1.2759003,0.0,1.0,-1.438465,-1.35710758,0.0,0.0,34.93428334,0.0,0.0,207820,30.796873494991893,4.137409845008108,-0.7356792699000001
22791,0.20127559,-0.07492977,0.01482278,-0.01097776,-0.00119002,0.23639732,0.81636813,30.46852105,-0.00137085,-0.00945171,-0.2281548,-0.25281177,0.0,0.0,0.10612118,2.0,0.0,0.0,-5.73522431,1.27423282,0.0,1.0,-1.445035,-1.36339983,0.0,0.0,34.93428334,0.0,0.0,207830,30.793636789657725,4.140646550342275,-0.7350610437000001
22792,0.20102968,-0.07486493,0.01479196,-0.01229523,-0.00122049,0.23694962,0.8157753,30.46608272,-0.00135605,-0.00946333,-0.22814813,-0.25257513,0.0,0.0,0.11999323,2.0,0.0,0.0,-5.64514146,1.27276235,0.0,1.0,-1.438465,-1.36978427,0.0,0.0,34.93428334,0.0,0.0,207840,30.79040279398353,4.143880546016469,-0.7344249633
