STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
32573,0.08152519,-0.00270828,0.06152451,-0.00688907,0.00031907,0.08890895,0.5313519,22.38794762,0.0070648,-0.00181574,-0.15843735,-0.142753,0.0,0.0,0.25871373,2.0,0.0,0.0,-0.18940831,0.94128186,0.0,1.0,-0.6497,-0.56386368,7.90108951,0.0,34.99760838,0.0,0.0,267900,20.75253903970298,14.245069340297022,-0.0265682268
32574,0.08154137,-0.00221221,0.06172725,-0.00693026,0.0003504,0.0903721,0.53103672,22.38793577,0.00712575,-0.00182263,-0.15858266,-0.14266334,0.0,0.0,0.25871373,2.0,0.0,0.0,-0.1586621,0.94072807,0.0,1.0,-0.649335,-0.56389346,8.00790429,0.0,34.99760838,0.0,0.0,267910,20.752525306706623,14.24508307329338,-0.0217017801
32575,0.08155435,-0.00174042,0.06205057,-0.00695909,0.00037669,0.0917624,0.53072408,22.3879409,0.00718689,-0.00182956,-0.15872823,-0.14257226,0.0,0.0,0.25871373,2.0,0.0,0.0,-0.11037602,0.94018328,0.0,1.0,-0.649335,-0.5637632,8.12997833,0.0,34.99760838,0.0,0.0,267920,20.75253125187685,14.245077128123157,-0.0170735202
32576,0.08156438,-0.0012913,0.06265815,-0.0069669,0.00039302,0.09308828,0.53041389,22.38796219,0.00724834,-0.0018365,-0.15887423,-0.14247983,0.0,0.0,0.25871373,2.0,0.0,0.0,-0.05328839,0.93964189,0.0,1.0,-0.648605,-0.56342233,8.12997833,0.0,34.99760838,0.0,0.0,267930,20.75255592491852,14.24505245508148,-0.012667653
32577,0.08157172,-0.00085972,0.06328921,-0.00693572,0.00040819,0.09435777,0.53010608,22.3879989,0.00731037,-0.00184343,-0.15902103,-0.1423861,0.0,0.0,0.28645783,2.0,0.0,0.0,-0.0206886,0.93909281,0.0,1.0,-0.647145,-0.56301814,8.25205237,0.0,34.99760838,0.0,0.0,267940,20.75259846826421,14.245009911735792,-0.0084338532
32578,0.08157731,-0.00043373,0.06337107,-0.00696706,0.0004434,0.09557973,0.52980061,22.38805065,0.00737293,-0.00185043,-0.1591685,-0.14229113,0.0,0.0,0.30032988,2.0,0.0,0.0,0.00261185,0.93853704,0.0,1.0,-0.645685,-0.56268131,8.38938566,0.0,34.99760838,0.0,0.0,267950,20.752658441565224,14.24494993843478,-0.0042548913
32579,0.08158069,-2.345e-05,0.06348124,-0.00687031,0.0004771,0.09677572,0.52949742,22.38811702,0.00743558,-0.00185737,-0.15931616,-0.14219496,0.0,0.0,0.30032988,2.0,0.0,0.0,0.02384316,0.9379848,0.0,1.0,-0.644225,-0.56234292,8.5114597,0.0,34.99760838,0.0,0.0,267960,20.75273535812932,14.244873021870683,-0.0002300445
32580,0.08158237,0.00037306,0.06379582,-0.00663865,0.00050362,0.09796159,0.52919647,22.38819749,0.00749836,-0.00186411,-0.15946408,-0.1420976,0.0,0.0,0.28645783,2.0,0.0,0.0,0.02284974,0.93742498,0.0,1.0,-0.643495,-0.56197776,8.60301523,0.0,34.99760838,0.0,0.0,267970,20.752828615384672,14.24477976461533,0.0036597186
32581,0.08158283,0.00076171,0.06414452,-0.00625523,0.00052852,0.09914992,0.52889772,22.38829163,0.00756149,-0.00187052,-0.15961254,-0.14199906,0.0,0.0,0.28645783,2.0,0.0,0.0,-0.00908078,0.93684991,0.0,1.0,-0.64313,-0.56171745,8.60301523,0.0,34.99760838,0.0,0.0,267980,20.75293771507056,14.244670664929444,0.0074723751
32582,0.08158323,0.00115632,0.06399323,-0.00582252,0.00057143,0.10035034,0.5286012,22.38839945,0.00762492,-0.00187656,-0.15976143,-0.14189933,0.0,0.0,0.28645783,2.0,0.0,0.0,-0.02118174,0.93626724,0.0,1.0,-0.642765,-0.5616132,8.70983001,0.0,34.99760838,0.0,0.0,267990,20.7530626688561,14.244545711143903,0.0113434992
32583,0.08158362,0.00155852,0.06317896,-0.00526968,0.0006365,0.10157341,0.52830693,22.38852115,0.0076882,-0.00188211,-0.1599102,-0.14179838,0.0,0.0,0.28645783,2.0,0.0,0.0,1.885e-05,0.93568662,0.0,1.0,-0.641305,-0.5616324,8.77086703,0.0,34.93359586,0.0,0.0,268000,20.753203708615903,14.18039215138409,0.0152890812
32584,0.08158455,0.00196646,0.06217318,-0.00461273,0.00070825,0.10283158,0.52801494,22.38865704,0.00775066,-0.00188706,-0.16005806,-0.14169619,0.0,0.0,0.28645783,2.0,0.0,0.0,0.06185523,0.93511221,0.0,1.0,-0.639115,-0.56178665,8.89294107,0.0,34.93359586,0.0,0.0,268010,20.75336119371941,14.180234666280588,0.0192909726
32585,0.08158615,0.00237763,0.06119517,-0.00386886,0.00077908,0.10412579,0.52772528,22.38880731,0.00781211,-0.0018913,-0.16020477,-0.14159272,0.0,0.0,0.28645783,2.0,0.0,0.0,0.15834584,0.93454806,0.0,1.0,-0.63729,-0.56210338,8.92345958,0.0,34.93359586,0.0,0.0,268020,20.75353534448139,14.180060515518608,0.0233245503
32586,0.08158849,0.00278934,0.06041844,-0.00305424,0.00084285,0.10545447,0.527438,22.38897203,0.00787259,-0.00189476,-0.16035035,-0.14148794,0.0,0.0,0.28645783,2.0,0.0,0.0,0.24689062,0.93399598,0.0,1.0,-0.6351,-0.56248647,8.92345958,0.0,34.93359586,0.0,0.0,268030,20.753726242160845,14.179869617839152,0.0273634254
32587,0.0815913,0.00320215,0.05948309,-0.00217175,0.00091065,0.10680865,0.52715315,22.3891512,0.00793229,-0.00189738,-0.16049504,-0.14138182,0.0,0.0,0.28645783,2.0,0.0,0.0,0.29170349,0.9334406,0.0,1.0,-0.632545,-0.56284257,8.95397809,0.0,34.93359586,0.0,0.0,268040,20.753933886905735,14.17966197309426,0.0314130915
