STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
32203,0.04608805,0.40471111,-0.06029784,0.05339719,-0.00921165,-0.08635063,0.26602997,19.85877763,-0.00103712,0.00619542,-0.37635299,-0.06324327,0.0,0.0,0.25871373,2.0,0.0,0.0,4.30952091,0.62620321,0.0,1.0,-1.90895,0.86543532,46.56804102,0.0,34.91495498,0.0,0.0,309500,17.887750255562274,17.027204724437723,3.9702159891
32204,0.04621136,0.40401635,-0.06195521,0.05371583,-0.00918732,-0.08686984,0.26640019,19.87307539,-0.00109747,0.00624894,-0.37665918,-0.06332988,0.0,0.0,0.25871373,2.0,0.0,0.0,4.16886974,0.62715401,0.0,1.0,-1.912965,0.86961774,46.56804102,0.0,34.91495498,0.0,0.0,309510,17.903572782049004,17.011382197950994,3.9634003935000006
32205,0.04633506,0.40329948,-0.06337562,0.05406161,-0.00917198,-0.08738683,0.26677212,19.88734828,-0.00115944,0.00630282,-0.37696337,-0.063417,0.0,0.0,0.25871373,2.0,0.0,0.0,4.01282195,0.62810367,0.0,1.0,-1.91698,0.87371349,46.46122623,0.0,34.91495498,0.0,0.0,309520,17.91937201118951,16.99558296881049,3.9563678988
32206,0.04645934,0.40256259,-0.06437468,0.05439535,-0.00917174,-0.08790311,0.26714576,19.9015956,-0.00122282,0.00635703,-0.37726581,-0.06350464,0.0,0.0,0.24484168,2.0,0.0,0.0,3.84894568,0.62906597,0.0,1.0,-1.920265,0.87784823,46.41544847,0.0,34.91495498,0.0,0.0,309530,17.93514714574989,16.979807834250106,3.9491390079
32207,0.04658354,0.40180627,-0.06526641,0.05483417,-0.00917947,-0.08841915,0.26752112,19.91581657,-0.00128714,0.0064116,-0.37756705,-0.0635928,0.0,0.0,0.24484168,2.0,0.0,0.0,3.67388599,0.63003781,0.0,1.0,-1.92282,0.88203464,46.35441145,0.0,34.91495498,0.0,0.0,309540,17.950897299095367,16.96405768090463,3.9417195087
32208,0.04670907,0.40103909,-0.06611247,0.05514179,-0.00918737,-0.08893535,0.2678982,19.93001073,-0.0013524,0.00646657,-0.37786727,-0.06368147,0.0,0.0,0.24484168,2.0,0.0,0.0,3.50967119,0.63100127,0.0,1.0,-1.925375,0.88604751,46.29337443,0.0,34.91495498,0.0,0.0,309550,17.966621938264993,16.948333041735005,3.9341934729
32209,0.04683519,0.40026037,-0.0669728,0.05543306,-0.00919603,-0.08945378,0.26827702,19.94417765,-0.00141849,0.00652184,-0.37816649,-0.06377066,0.0,0.0,0.24484168,2.0,0.0,0.0,3.36610605,0.63195928,0.0,1.0,-1.92866,0.88979342,46.29337443,0.0,34.91495498,0.0,0.0,309560,17.982320563048795,16.932634416951203,3.9265542297
32210,0.04696191,0.39947199,-0.06780347,0.05570821,-0.00920673,-0.08997457,0.2686576,19.95831695,-0.00148544,0.00657739,-0.37846471,-0.06386037,0.0,0.0,0.24484168,2.0,0.0,0.0,3.21788537,0.63292031,0.0,1.0,-1.93231,0.8934089,46.23233741,0.0,34.91495498,0.0,0.0,309570,17.997992728205425,16.916962251794573,3.9188202219
32211,0.04708915,0.39867556,-0.06850729,0.05596857,-0.00922242,-0.09050002,0.26903994,19.97242834,-0.00155321,0.00663321,-0.37876199,-0.0639506,0.0,0.0,0.24484168,2.0,0.0,0.0,3.0606659,0.63387148,0.0,1.0,-1.936325,0.89688768,46.18655965,0.0,34.91495498,0.0,0.0,309580,18.01363808789175,16.901316892108248,3.9110072436
32212,0.04721689,0.39785561,-0.06938249,0.0562142,-0.00923131,-0.09103155,0.26942405,19.98651156,-0.00162168,0.00668928,-0.37905847,-0.06404136,0.0,0.0,0.24484168,2.0,0.0,0.0,2.92552652,0.63482178,0.0,1.0,-1.94034,0.90017787,46.12552263,0.0,34.91495498,0.0,0.0,309590,18.0292563292478,16.885698650752197,3.9029635341
32213,0.0473451,0.39705315,-0.07041367,0.0564434,-0.00923795,-0.09157026,0.26980994,20.00056583,-0.00169102,0.00674559,-0.37935391,-0.06413265,0.0,0.0,0.23096963,2.0,0.0,0.0,2.79579649,0.63577927,0.0,1.0,-1.943625,0.9034282,46.09500412,0.0,34.86296573,0.0,0.0,309600,18.044846562253685,16.818119167746314,3.8950914015
32214,0.04747352,0.39624838,-0.07156724,0.05669593,-0.00924123,-0.09211748,0.2701976,20.01459172,-0.00176133,0.00680216,-0.37964825,-0.06422449,0.0,0.0,0.23096963,2.0,0.0,0.0,2.65079988,0.63673073,0.0,1.0,-1.94545,0.90666189,46.09500412,0.0,34.86296573,0.0,0.0,309610,18.06040939415977,16.802556335840233,3.8871966078
32215,0.04760261,0.39544839,-0.07274309,0.05689133,-0.00924452,-0.09267462,0.27058705,20.02858937,-0.00183282,0.00685894,-0.37994127,-0.06431687,0.0,0.0,0.23096963,2.0,0.0,0.0,2.53191452,0.63767261,0.0,1.0,-1.946545,0.90967841,46.01870785,0.0,34.86296573,0.0,0.0,309620,18.075944955623655,16.787020774376344,3.8793487059
32216,0.04773208,0.39465053,-0.07384081,0.05707,-0.00925089,-0.09324249,0.27097828,20.04255888,-0.00190547,0.0069159,-0.38023298,-0.06440982,0.0,0.0,0.21709758,2.0,0.0,0.0,2.44184518,0.63861878,0.0,1.0,-1.948005,0.91243104,46.00344859,0.0,34.86296573,0.0,0.0,309630,18.091453333102976,16.771512396897023,3.8715216993
32217,0.04786172,0.39385427,-0.07498707,0.05727218,-0.00925629,-0.09382104,0.27137129,20.05650026,-0.00197916,0.00697307,-0.38052351,-0.06450335,0.0,0.0,0.21709758,2.0,0.0,0.0,2.33422064,0.63956124,0.0,1.0,-1.94983,0.91495197,45.97293008,0.0,34.86296573,0.0,0.0,309640,18.106934513267134,16.75603121673286,3.8637103887
32218,0.04799198,0.39306643,-0.07613089,0.05741755,-0.00926253,-0.09441116,0.2717661,20.07041377,-0.00205403,0.00703039,-0.38081272,-0.06459746,0.0,0.0,0.21709758,2.0,0.0,0.0,2.20685625,0.64049512,0.0,1.0,-1.95129,0.91720441,45.94241157,0.0,34.86296573,0.0,0.0,309650,18.12238876056655,16.740576969433448,3.855981678300001
32219,0.04812258,0.39228414,-0.07720554,0.05754693,-0.00927162,-0.09501343,0.27216269,20.08429964,-0.00213002,0.00708785,-0.38110066,-0.06469216,0.0,0.0,0.21709758,2.0,0.0,0.0,2.09657852,0.6414301,0.0,1.0,-1.953115,0.91920324,45.94241157,0.0,34.86296573,0.0,0.0,309660,18.137816306464984,16.725149423535015,3.8483074134
32220,0.04825352,0.39150756,-0.07816145,0.05765905,-0.00928515,-0.09562715,0.27256107,20.09815807,-0.00220707,0.00714543,-0.3813874,-0.06478747,0.0,0.0,0.21709758,2.0,0.0,0.0,1.96778333,0.6423701,0.0,1.0,-1.954575,0.92104486,45.88137455,0.0,34.86296573,0.0,0.0,309670,18.15321734939499,16.70974838060501,3.8406891636
32221,0.04838476,0.39073723,-0.07899567,0.05775381,-0.0093032,-0.09625315,0.27296124,20.11198927,-0.00228507,0.00720311,-0.38167307,-0.06488341,0.0,0.0,0.21709758,2.0,0.0,0.0,1.79199249,0.64330208,0.0,1.0,-1.955305,0.92281416,45.82033753,0.0,34.86296573,0.0,0.0,309680,18.16859209918331,16.69437363081669,3.8331322263
32222,0.04851626,0.38995638,-0.08001791,0.05783072,-0.00931376,-0.09689161,0.27336319,20.12579347,-0.00236389,0.00726088,-0.38195781,-0.06497997,0.0,0.0,0.21709758,2.0,0.0,0.0,1.61427694,0.64423589,0.0,1.0,-1.9564,0.92458204,45.77455977,0.0,34.86296573,0.0,0.0,309690,18.183940788184344,16.679024941815655,3.8254720878
