STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
15393,0.14651332,-0.07223789,-0.00558434,-0.03709711,-0.00184558,0.09817972,0.52502201,31.68866918,-0.00179147,-0.00627538,-0.22084062,-0.16936125,0.0,0.0,0.24484168,2.0,0.0,0.0,-5.52855246,0.86030677,0.0,1.0,-1.40744,-0.78654976,0.0,0.0,34.92936175,0.0,0.0,143140,32.42739377466571,2.5019679753342885,-0.7086537009
15394,0.14635649,-0.0721287,-0.00528259,-0.03727312,-0.00183926,0.09892508,0.52482984,31.68620944,-0.00179691,-0.00631254,-0.22084555,-0.16926271,0.0,0.0,0.24484168,2.0,0.0,0.0,-5.48306523,0.85936589,0.0,1.0,-1.402695,-0.79195081,0.0,0.0,34.92936175,0.0,0.0,143150,32.424069193990476,2.505292556009522,-0.7075825470000001
15395,0.1461982,-0.07203379,-0.00499822,-0.03745813,-0.00183211,0.09968219,0.52463566,31.68375322,-0.00180205,-0.00634989,-0.22085006,-0.16916342,0.0,0.0,0.24484168,2.0,0.0,0.0,-5.44941009,0.85842944,0.0,1.0,-1.398315,-0.79732344,0.0,0.0,34.92936175,0.0,0.0,143160,32.42074949604195,2.5086122539580487,-0.7066514799
15396,0.14603842,-0.07195381,-0.00473386,-0.03765282,-0.00182403,0.10045086,0.52443945,31.68130002,-0.00180692,-0.00638742,-0.22085412,-0.16906337,0.0,0.0,0.23096963,2.0,0.0,0.0,-5.42891344,0.85748953,0.0,1.0,-1.39357,-0.8024249,0.0,0.0,34.92936175,0.0,0.0,143170,32.41743400454703,2.511927745452965,-0.7058668761000001
15397,0.1458769,-0.07189161,-0.00442669,-0.03780473,-0.00181808,0.10123223,0.52424117,31.6788492,-0.00181148,-0.0064251,-0.22085781,-0.16896254,0.0,0.0,0.23096963,2.0,0.0,0.0,-5.40482646,0.85654123,0.0,1.0,-1.388825,-0.807278,0.0,0.0,34.92936175,0.0,0.0,143180,32.41412185413615,2.51523989586385,-0.7052566941
15398,0.14571411,-0.07183488,-0.00418238,-0.03801719,-0.00180925,0.10202204,0.52404079,31.67640034,-0.00181579,-0.00646299,-0.22086104,-0.16886093,0.0,0.0,0.24484168,2.0,0.0,0.0,-5.36567994,0.85560078,0.0,1.0,-1.38408,-0.81191933,0.0,0.0,34.92936175,0.0,0.0,143190,32.410812476871406,2.518549273128592,-0.7047001728000001
15399,0.14555,-0.07179538,-0.00404415,-0.03828925,-0.00179512,0.10282039,0.52383829,31.67395323,-0.00181991,-0.00650115,-0.2208637,-0.16875853,0.0,0.0,0.23096963,2.0,0.0,0.0,-5.30270936,0.85467129,0.0,1.0,-1.379335,-0.81641149,0.0,0.0,34.92936175,0.0,0.0,143200,32.40750558867747,2.5218561613225248,-0.7043126778000001
15400,0.14538387,-0.07177757,-0.0038157,-0.03846624,-0.00178567,0.10363208,0.52363364,31.67150697,-0.00182382,-0.00653947,-0.22086587,-0.16865531,0.0,0.0,0.23096963,2.0,0.0,0.0,-5.21539459,0.85373287,0.0,1.0,-1.37459,-0.82099012,0.0,0.0,34.92936175,0.0,0.0,143210,32.404199973146675,2.5251617768533237,-0.7041379617
15401,0.14521644,-0.07177079,-0.00365993,-0.03870328,-0.00177255,0.10445091,0.5234268,31.66906108,-0.00182755,-0.00657803,-0.22086748,-0.16855129,0.0,0.0,0.23096963,2.0,0.0,0.0,-5.13525664,0.85278149,0.0,1.0,-1.37021,-0.82576379,0.0,0.0,34.92936175,0.0,0.0,143220,32.4008949815653,2.528466768434697,-0.7040714499
15402,0.14504746,-0.07177814,-0.00352903,-0.03894532,-0.00175834,0.10527817,0.52321775,31.66661509,-0.00183113,-0.00661683,-0.22086848,-0.16844644,0.0,0.0,0.23096963,2.0,0.0,0.0,-5.04354419,0.85184058,0.0,1.0,-1.36583,-0.83053052,0.0,0.0,34.92936175,0.0,0.0,143230,32.397589978828655,2.5317717711713428,-0.7041435534000001
