STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
47023,-0.23840828,0.03925295,0.01193833,0.03846274,-0.00266707,-0.21694796,-1.21025095,26.48020037,-0.00354166,0.00040613,-0.26759674,0.34169032,0.0,0.0,0.18935348,2.0,0.0,0.0,1.22792953,-2.00861104,0.0,1.0,1.78777,1.32983308,12.99768059,0.0,34.88167375,0.0,0.0,394570,25.668565320508353,9.213108429491644,0.3850714395
47024,-0.23826783,0.03935253,0.01198003,0.03896604,-0.00266646,-0.21661138,-1.20962275,26.48200289,-0.00352972,0.00044479,-0.2675968,0.34147357,0.0,0.0,0.20322553,2.0,0.0,0.0,1.24699882,-2.00719729,0.0,1.0,1.78558,1.33147544,12.99768059,0.0,34.88167375,0.0,0.0,394580,25.670807145992693,9.210866604007304,0.3860483193
47025,-0.23812709,0.0394456,0.01193419,0.03959531,-0.00266215,-0.21629305,-1.20899472,26.48380845,-0.00351779,0.00048409,-0.26759703,0.34125715,0.0,0.0,0.20322553,2.0,0.0,0.0,1.35509512,-2.00577608,0.0,1.0,1.785945,1.33357885,12.99768059,0.0,34.88167375,0.0,0.0,394590,25.67305281987279,9.208620930127209,0.386961336
47026,-0.23798455,0.03953087,0.01195089,0.04008285,-0.00266076,-0.21599641,-1.2083668,26.48561659,-0.00350587,0.00052387,-0.26759742,0.34104104,0.0,0.0,0.20322553,2.0,0.0,0.0,1.45631784,-2.00438441,0.0,1.0,1.78704,1.33581003,12.99768059,0.0,34.88167375,0.0,0.0,394600,25.675301770336812,9.206371979663183,0.3877978347
47027,-0.23784095,0.03960799,0.01197928,0.04055129,-0.00265983,-0.2157174,-1.20773894,26.48742712,-0.00349394,0.00056412,-0.26759802,0.34082521,0.0,0.0,0.20322553,2.0,0.0,0.0,1.55091778,-2.00300589,0.0,1.0,1.783025,1.3378526,12.99768059,0.0,34.88167375,0.0,0.0,394610,25.677553761343553,9.204119988656444,0.3885543819
47028,-0.23769642,0.03967681,0.01201839,0.04101569,-0.00265939,-0.21545536,-1.2071111,26.48923975,-0.00348199,0.00060484,-0.26759885,0.34060966,0.0,0.0,0.20322553,2.0,0.0,0.0,1.54883051,-2.00162912,0.0,1.0,1.791785,1.3395262,12.99768059,0.0,34.88167375,0.0,0.0,394620,25.67980843243504,9.20186531756496,0.3892295061
47029,-0.23755104,0.0397374,0.01206406,0.04150206,-0.0026594,-0.21521092,-1.20648324,26.49105419,-0.00347,0.00064604,-0.26759992,0.34039435,0.0,0.0,0.20322553,2.0,0.0,0.0,1.81553247,-2.00023318,0.0,1.0,1.802735,1.34098762,12.99768059,0.0,34.88167375,0.0,0.0,394630,25.682065423110057,9.19960832688994,0.389823894
47030,-0.23740476,0.03979007,0.01211013,0.04201544,-0.00265962,-0.21498459,-1.20585534,26.49287016,-0.00345797,0.00068775,-0.26760126,0.34017929,0.0,0.0,0.20322553,2.0,0.0,0.0,1.73905262,-1.99881646,0.0,1.0,1.764045,1.34266826,12.99768059,0.0,34.88167375,0.0,0.0,394640,25.684324385263597,9.1973493647364,0.3903405867
47031,-0.23725137,0.03983593,0.01193259,0.04181548,-0.00268146,-0.2147915,-1.20522733,26.49468737,-0.0034459,0.00072999,-0.26760286,0.33996444,0.0,0.0,0.20322553,2.0,0.0,0.0,1.69544598,-1.99739882,0.0,1.0,1.737765,1.34468737,12.99768059,0.0,34.88167375,0.0,0.0,394650,25.686584958308703,9.195088791691294,0.3907904733
47032,-0.23710365,0.03987395,0.01197542,0.04241127,-0.00267962,-0.21459725,-1.20459898,26.4965056,-0.003434,0.00077205,-0.26760546,0.33974978,0.0,0.0,0.20322553,2.0,0.0,0.0,1.73532867,-1.99598475,0.0,1.0,1.751635,1.346703,12.99768059,0.0,34.88167375,0.0,0.0,394660,25.688846868697382,9.192826881302617,0.3911634495
47033,-0.23695496,0.03990547,0.01199951,0.04300082,-0.00267731,-0.21441765,-1.20397048,26.49832457,-0.00342206,0.00081471,-0.26760826,0.3395353,0.0,0.0,0.20322553,2.0,0.0,0.0,1.80727268,-1.99459029,0.0,1.0,1.77609,1.34831115,12.99768059,0.0,34.82259609,0.0,0.0,394670,25.691109768204143,9.131486321795856,0.3914726607
47034,-0.23680533,0.03993102,0.01200214,0.04357783,-0.00267445,-0.21425207,-1.20334178,26.50014407,-0.00341011,0.00085795,-0.26761122,0.339321,0.0,0.0,0.21709758,2.0,0.0,0.0,1.91283826,-1.9931859,0.0,1.0,1.78777,1.34975193,12.98242134,0.0,34.82259609,0.0,0.0,394680,25.693373395649132,9.129222694350863,0.3917233062
47035,-0.23665545,0.03995042,0.01187997,0.04427556,-0.00266681,-0.21409843,-1.20271287,26.50196399,-0.0033982,0.00090189,-0.26761428,0.33910685,0.0,0.0,0.21709758,2.0,0.0,0.0,2.00778653,-1.99176212,0.0,1.0,1.776455,1.35136167,12.98242134,0.0,34.82259609,0.0,0.0,394690,25.695637614235835,9.126958475764162,0.3919136202
47036,-0.23650318,0.03996129,0.01180394,0.04470373,-0.00266233,-0.21396164,-1.20208368,26.50378382,-0.00338634,0.00094627,-0.26761745,0.33889285,0.0,0.0,0.20322553,2.0,0.0,0.0,2.09882724,-1.99031245,0.0,1.0,1.76076,1.35325454,12.98242134,0.0,34.82259609,0.0,0.0,394700,25.697901789476187,9.12469430052381,0.3920202549
47037,-0.23635129,0.03997352,0.0115436,0.04537539,-0.00265101,-0.21383127,-1.20145421,26.50560366,-0.00337464,0.00099133,-0.26762058,0.33867898,0.0,0.0,0.21709758,2.0,0.0,0.0,2.11896504,-1.98887104,0.0,1.0,1.75419,1.35532845,12.95190283,0.0,34.82259609,0.0,0.0,394710,25.700166045782524,9.122430044217474,0.3921402312
47038,-0.23619758,0.03997675,0.01123583,0.04589513,-0.00263899,-0.2137111,-1.20082439,26.50742326,-0.00336316,0.00103692,-0.26762362,0.33846524,0.0,0.0,0.21709758,2.0,0.0,0.0,2.11810671,-1.98743489,0.0,1.0,1.75492,1.35742687,12.95190283,0.0,34.82259609,0.0,0.0,394720,25.702430072090273,9.120166017909725,0.3921719175
47039,-0.23604279,0.03997326,0.01097897,0.04639659,-0.00262899,-0.21359663,-1.20019418,26.50924239,-0.00335199,0.00108301,-0.26762648,0.33825161,0.0,0.0,0.21709758,2.0,0.0,0.0,2.09750122,-1.98602963,0.0,1.0,1.75784,1.35928024,12.93664357,0.0,34.82259609,0.0,0.0,394730,25.704693582183168,9.11790250781683,0.3921376806
