STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
37373,-0.19434273,0.06097336,0.0003012,0.04602722,-0.0027206,0.04348388,-0.95829445,25.04680998,-0.00239586,-0.00367183,-0.26100218,0.26471279,0.0,0.0,0.24484168,2.0,0.0,0.0,0.41823135,-1.75213761,0.0,1.0,2.253145,0.00587525,15.07293924,0.0,34.9952739,0.0,0.0,309370,23.907146385895143,11.088127514104857,0.5981486616
37374,-0.19435771,0.06097726,0.00024564,0.04560663,-0.00272314,0.04281071,-0.95852611,25.04921766,-0.00239554,-0.00362606,-0.26104185,0.26475593,0.0,0.0,0.24484168,2.0,0.0,0.0,0.36615011,-1.75211958,0.0,1.0,2.25351,0.00682622,15.07293924,0.0,34.9952739,0.0,0.0,309380,23.910069362987773,11.085204537012228,0.5981869206
37375,-0.19437308,0.06098605,0.00013607,0.04527662,-0.002723,0.04215863,-0.9587566,25.05162576,-0.00239531,-0.00358062,-0.26108151,0.26479841,0.0,0.0,0.25871373,2.0,0.0,0.0,0.30729512,-1.7520997,0.0,1.0,2.25351,0.00770225,15.05767998,0.0,34.9952739,0.0,0.0,309390,23.912992970119767,11.082280929880234,0.5982731505000001
37376,-0.19438878,0.06100678,-4.508e-05,0.04503766,-0.00272039,0.04152735,-0.95898598,25.05403446,-0.00239524,-0.0035354,-0.26112106,0.26484025,0.0,0.0,0.25871373,2.0,0.0,0.0,0.26255509,-1.75208692,0.0,1.0,2.25351,0.0084687,15.05767998,0.0,34.9952739,0.0,0.0,309400,23.915917425900453,11.079356474099548,0.5984765117999999
37377,-0.19440357,0.06102766,-0.00021213,0.04466956,-0.00271896,0.04091302,-0.95921421,25.05644397,-0.0023953,-0.00349054,-0.26116053,0.26488146,0.0,0.0,0.25871373,2.0,0.0,0.0,0.23653968,-1.75207461,0.0,1.0,2.25351,0.00907196,15.07293924,0.0,34.9952739,0.0,0.0,309410,23.91884298540103,11.07643091459897,0.5986813446
37378,-0.19441801,0.06105073,-0.00031012,0.04428885,-0.00271996,0.04031689,-0.95944131,25.05885436,-0.00239553,-0.00344606,-0.26119992,0.26492207,0.0,0.0,0.25871373,2.0,0.0,0.0,0.2204868,-1.75205729,0.0,1.0,2.253145,0.00964862,15.07293924,0.0,34.9952739,0.0,0.0,309420,23.92176973374011,11.073504166259893,0.5989076613000001
37379,-0.19443208,0.061075,-0.0002774,0.04389419,-0.00272539,0.03973855,-0.95966728,25.06126571,-0.00239585,-0.00340197,-0.26123929,0.26496209,0.0,0.0,0.25871373,2.0,0.0,0.0,0.19459489,-1.75203933,0.0,1.0,2.253145,0.01024692,15.07293924,0.0,34.9952739,0.0,0.0,309430,23.924697768193287,11.070576131806714,0.59914575
37380,-0.19444576,0.06110056,-0.00019042,0.0434844,-0.00273277,0.03917803,-0.95989211,25.06367804,-0.00239613,-0.00335828,-0.2612788,0.26500154,0.0,0.0,0.25871373,2.0,0.0,0.0,0.17323959,-1.75201447,0.0,1.0,2.25278,0.01086894,15.07293924,0.0,34.9952739,0.0,0.0,309440,23.92762711319141,11.067646786808597,0.5993964936
37381,-0.19445938,0.06112767,-0.00011159,0.04309612,-0.00273855,0.03863301,-0.96011582,25.06609139,-0.00239634,-0.00331496,-0.26131846,0.26504044,0.0,0.0,0.25871373,2.0,0.0,0.0,0.15902233,-1.75198827,0.0,1.0,2.253145,0.01151088,15.07293924,0.0,34.9952739,0.0,0.0,309450,23.9305578174573,11.064716082542702,0.5996624427
37382,-0.19447231,0.06115687,-3.449e-05,0.04264731,-0.002746,0.03810376,-0.9603384,25.06850583,-0.00239645,-0.00327209,-0.26135835,0.2650788,0.0,0.0,0.25871373,2.0,0.0,0.0,0.14679473,-1.75196045,0.0,1.0,2.25278,0.01213604,15.07293924,0.0,34.9952739,0.0,0.0,309460,23.933489966155264,11.061783933844737,0.5999488947
37383,-0.19448494,0.06118819,1.854e-05,0.04218251,-0.00275264,0.03758705,-0.96055984,25.07092143,-0.00239649,-0.00322967,-0.26139846,0.26511664,0.0,0.0,0.25871373,2.0,0.0,0.0,0.1381209,-1.75193513,0.0,1.0,2.252415,0.01265748,15.07293924,0.0,34.94051491,0.0,0.0,309470,23.936423644463687,11.00409126553631,0.6002561439
37384,-0.19449732,0.06122162,4.705e-05,0.04170233,-0.00275842,0.037081,-0.96078015,25.07333827,-0.00239646,-0.00318772,-0.26143877,0.26515397,0.0,0.0,0.25871373,2.0,0.0,0.0,0.12074954,-1.75191845,0.0,1.0,2.25205,0.0130081,15.07293924,0.0,34.94051491,0.0,0.0,309480,23.93935894972052,11.001155960279476,0.6005840922
37385,-0.19450946,0.06125288,4.463e-05,0.04120738,-0.00276269,0.03658388,-0.96099934,25.07575641,-0.00239641,-0.00314626,-0.26147923,0.2651908,0.0,0.0,0.25871373,2.0,0.0,0.0,0.11310654,-1.75189979,0.0,1.0,2.25132,0.01329582,15.07293924,0.0,34.94051491,0.0,0.0,309490,23.94229595498788,10.998218955012115,0.6008907528
37386,-0.19452136,0.06128987,3.625e-05,0.04069869,-0.00276707,0.03609438,-0.9612174,25.07817579,-0.00239636,-0.00310531,-0.2615198,0.26522714,0.0,0.0,0.25871373,2.0,0.0,0.0,0.12005911,-1.75188419,0.0,1.0,2.25132,0.01358775,15.07293924,0.0,34.94051491,0.0,0.0,309500,23.94523458758235,10.99528032241765,0.6012536247000001
37387,-0.19453301,0.06132803,1.838e-05,0.04017699,-0.00277105,0.03561128,-0.96143434,25.08059658,-0.00239631,-0.00306487,-0.26156048,0.26526298,0.0,0.0,0.25871373,2.0,0.0,0.0,0.13613515,-1.75185894,0.0,1.0,2.250955,0.01390743,15.07293924,0.0,34.94051491,0.0,0.0,309510,23.948175054188976,10.99233985581102,0.6016279743
37388,-0.19454439,0.06136682,-2.62e-06,0.0396432,-0.00277483,0.0351336,-0.96165016,25.08301883,-0.00239628,-0.00302495,-0.26160126,0.26529835,0.0,0.0,0.25871373,2.0,0.0,0.0,0.14658039,-1.75183241,0.0,1.0,2.25059,0.01428216,15.07293924,0.0,34.94051491,0.0,0.0,309520,23.951117415757324,10.989397494242674,0.6020085042000001
37389,-0.1945555,0.06140567,-2.118e-05,0.03909835,-0.00277862,0.03466049,-0.96186487,25.08544255,-0.00239627,-0.00298558,-0.26164213,0.26533325,0.0,0.0,0.25871373,2.0,0.0,0.0,0.14587972,-1.75180717,0.0,1.0,2.250225,0.01463357,15.07293924,0.0,34.94051491,0.0,0.0,309530,23.95406168465521,10.986453225344787,0.6023896227000001
37390,-0.19456632,0.061444,-3.309e-05,0.03854373,-0.00278258,0.03419117,-0.96207846,25.08786773,-0.00239628,-0.00294676,-0.26168309,0.26536767,0.0,0.0,0.25871373,2.0,0.0,0.0,0.15616796,-1.75177767,0.0,1.0,2.24986,0.01493976,15.07293924,0.0,34.94051491,0.0,0.0,309540,23.95700784895563,10.983507061044367,0.60276564
37391,-0.19457683,0.06148128,-3.584e-05,0.03798081,-0.00278679,0.03372486,-0.96229094,25.09029433,-0.0023963,-0.00290849,-0.26172414,0.26540162,0.0,0.0,0.25871373,2.0,0.0,0.0,0.16631067,-1.75174759,0.0,1.0,2.249495,0.01524872,15.07293924,0.0,34.94051491,0.0,0.0,309550,23.95995586028276,10.980559049717236,0.6031313568000001
37392,-0.19458701,0.06151699,-2.867e-05,0.03741093,-0.00279129,0.03326076,-0.9625023,25.09272232,-0.00239632,-0.00287079,-0.26176531,0.26543511,0.0,0.0,0.25871373,2.0,0.0,0.0,0.18663655,-1.75171292,0.0,1.0,2.248765,0.01562639,15.05767998,0.0,34.94051491,0.0,0.0,309560,23.962905682402344,10.977609227597654,0.6034816719
