STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
35333,-0.40852427,-0.09710242,0.00027028,-0.03305147,-0.00749664,-0.03799843,-1.23698153,32.5434147,-0.00927107,0.00012275,-0.23530587,0.44357018,0.0,0.0,0.24484168,2.0,0.0,0.0,-0.43191645,-2.29723161,0.0,1.0,3.12513,-0.11651893,0.0,0.0,34.93700102,0.0,0.0,272030,33.59025755483585,1.3467434651641454,-0.9525747402
35334,-0.40845441,-0.09707837,0.00027665,-0.03246246,-0.00749128,-0.03719074,-1.23697372,32.54053671,-0.0092708,9e-05,-0.23526868,0.44353259,0.0,0.0,0.23096963,2.0,0.0,0.0,-0.31326133,-2.29733273,0.0,1.0,3.127685,-0.11691769,0.0,0.0,34.93700102,0.0,0.0,272040,33.58631670776058,1.350684312239416,-0.9523388097
35335,-0.40838431,-0.09706104,0.00035322,-0.03201239,-0.00748884,-0.03640207,-1.23696591,32.53765936,-0.00927048,5.77e-05,-0.23523145,0.44349579,0.0,0.0,0.23096963,2.0,0.0,0.0,-0.25252434,-2.29743749,0.0,1.0,3.12805,-0.11720856,0.0,0.0,34.93700102,0.0,0.0,272050,33.58237690861272,1.354624111387274,-0.9521688024
35336,-0.40831529,-0.09704338,0.00037536,-0.03142674,-0.00748413,-0.03562347,-1.2369581,32.5347826,-0.00927013,2.599e-05,-0.23519416,0.44345978,0.0,0.0,0.23096963,2.0,0.0,0.0,-0.21302303,-2.29757041,0.0,1.0,3.126955,-0.11765018,0.0,0.0,34.93700102,0.0,0.0,272060,33.578438088819965,1.3585629311800318,-0.9519955578
35337,-0.4082467,-0.09702872,0.0003905,-0.03084915,-0.00747918,-0.03485978,-1.23695029,32.53190637,-0.00926975,-5.15e-06,-0.23515677,0.44342454,0.0,0.0,0.23096963,2.0,0.0,0.0,-0.17860119,-2.29769325,0.0,1.0,3.12586,-0.11819622,0.0,0.0,34.93700102,0.0,0.0,272070,33.57450016613101,1.362500853868987,-0.9518517432
35338,-0.40817857,-0.09701715,0.00039862,-0.03027608,-0.00747399,-0.03411124,-1.23694247,32.52903056,-0.00926937,-3.571e-05,-0.23511928,0.44339006,0.0,0.0,0.23096963,2.0,0.0,0.0,-0.15523112,-2.29782794,0.0,1.0,3.12732,-0.11862225,0.0,0.0,34.93700102,0.0,0.0,272080,33.57056298985701,1.3664380301429873,-0.9517382415
35339,-0.40811091,-0.09700235,0.00041481,-0.02970197,-0.00746966,-0.03337812,-1.23693462,32.52615505,-0.00926897,-6.57e-05,-0.23508168,0.44335632,0.0,0.0,0.23096963,2.0,0.0,0.0,-0.16020887,-2.29796322,0.0,1.0,3.13024,-0.11904433,0.0,0.0,34.93700102,0.0,0.0,272090,33.56662639564557,1.370374624354426,-0.9515930535
35340,-0.40804374,-0.09699712,0.0004091,-0.02912379,-0.00746403,-0.03266111,-1.23692676,32.52327997,-0.00926857,-9.51e-05,-0.235044,0.4433233,0.0,0.0,0.23096963,2.0,0.0,0.0,-0.11561259,-2.29806235,0.0,1.0,3.129145,-0.11927206,0.0,0.0,34.93700102,0.0,0.0,272100,33.56269056140241,1.3743104585975845,-0.9515417472
35341,-0.40797701,-0.09699507,0.00039722,-0.02854403,-0.00745822,-0.03196019,-1.23691885,32.52040497,-0.00926817,-0.00012393,-0.2350062,0.443291,0.0,0.0,0.23096963,2.0,0.0,0.0,-0.06844925,-2.29816579,0.0,1.0,3.125495,-0.11922422,0.0,0.0,34.93700102,0.0,0.0,272110,33.55875500795026,1.3782460120497362,-0.9515216367
35342,-0.40791067,-0.09699621,0.00037969,-0.02797181,-0.00745221,-0.031275,-1.23691091,32.51752994,-0.00926778,-0.00015218,-0.23496827,0.44325938,0.0,0.0,0.23096963,2.0,0.0,0.0,-0.02064397,-2.29826538,0.0,1.0,3.125495,-0.11928231,0.0,0.0,34.93700102,0.0,0.0,272120,33.554819584706934,1.382181435293063,-0.9515328201
35343,-0.40784473,-0.09700054,0.00035702,-0.02741,-0.007446,-0.03060522,-1.23690291,32.51465477,-0.00926741,-0.00017987,-0.23493019,0.44322844,0.0,0.0,0.23096963,2.0,0.0,0.0,0.0387273,-2.29837208,0.0,1.0,3.129875,-0.11941575,0.0,0.0,34.86330408,0.0,0.0,272130,33.55088414111647,1.3124199388835294,-0.9515752974
35344,-0.40777925,-0.09700801,0.00032983,-0.0268511,-0.00743966,-0.02995091,-1.23689485,32.51177935,-0.00926707,-0.000207,-0.23489196,0.44319817,0.0,0.0,0.23096963,2.0,0.0,0.0,0.07086206,-2.29848076,0.0,1.0,3.13316,-0.11953253,0.0,0.0,34.86330408,0.0,0.0,272140,33.54694852664915,1.3163555533508458,-0.9516485781
35345,-0.40771425,-0.09701853,0.00029872,-0.02628746,-0.00743325,-0.0293123,-1.23688673,32.50890357,-0.00926676,-0.00023357,-0.23485358,0.44316854,0.0,0.0,0.23096963,2.0,0.0,0.0,0.10845381,-2.2986063,0.0,1.0,3.129875,-0.11978252,0.0,0.0,34.86330408,0.0,0.0,272150,33.54301259080146,1.320291489198539,-0.9517517793
35346,-0.40764972,-0.09703199,0.00026428,-0.02571908,-0.00742678,-0.02868935,-1.23687855,32.50602733,-0.00926648,-0.00025956,-0.23481504,0.44313954,0.0,0.0,0.23096963,2.0,0.0,0.0,0.12325071,-2.29871049,0.0,1.0,3.124035,-0.11985442,0.0,0.0,34.86330408,0.0,0.0,272160,33.5390761967817,1.324227883218299,-0.9518838219
35347,-0.4075856,-0.09704824,0.00022696,-0.02515147,-0.00742026,-0.0280817,-1.2368703,32.50315052,-0.00926624,-0.00028499,-0.23477634,0.44311116,0.0,0.0,0.23096963,2.0,0.0,0.0,0.15659794,-2.29881097,0.0,1.0,3.124035,-0.119663,0.0,0.0,34.86330408,0.0,0.0,272170,33.53513919413701,1.3281648858629893,-0.9520432344
35348,-0.40752247,-0.09706472,0.00012001,-0.02444892,-0.00741094,-0.02748535,-1.23686199,32.50027314,-0.00926608,-0.00030971,-0.2347374,0.44308338,0.0,0.0,0.24484168,2.0,0.0,0.0,0.18805401,-2.29891629,0.0,1.0,3.126225,-0.11949053,0.0,0.0,34.86330408,0.0,0.0,272180,33.531201582969345,1.332102497030654,-0.9522049032
35349,-0.40745901,-0.09708203,8.007e-05,-0.02388646,-0.00740497,-0.02690922,-1.2368536,32.49739497,-0.00926599,-0.00033387,-0.23469826,0.44305619,0.0,0.0,0.24484168,2.0,0.0,0.0,0.22235397,-2.29901807,0.0,1.0,3.128415,-0.1192822,0.0,0.0,34.86330408,0.0,0.0,272190,33.527263062336715,1.336041017663284,-0.9523747143
35350,-0.40739587,-0.0971094,2.692e-05,-0.02332288,-0.00739807,-0.02634856,-1.23684512,32.4945161,-0.00926595,-0.00035746,-0.23465896,0.44302956,0.0,0.0,0.24484168,2.0,0.0,0.0,0.24441921,-2.29912074,0.0,1.0,3.127685,-0.11895593,0.0,0.0,34.86330408,0.0,0.0,272200,33.52332375552942,1.3399803244705808,-0.952643214
35351,-0.40733303,-0.09714013,-2.62e-05,-0.02276108,-0.00739126,-0.02580272,-1.23683654,32.49163615,-0.00926595,-0.00038049,-0.23461947,0.44300349,0.0,0.0,0.24484168,2.0,0.0,0.0,0.29457608,-2.29921802,0.0,1.0,3.12513,-0.11865298,0.0,0.0,34.86330408,0.0,0.0,272210,33.519383142733076,1.3439209372669223,-0.9529446753
