STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
70033,0.00137928,0.26892468,-0.13495893,-0.00278155,-0.00675411,-0.00851118,0.00725207,2.01798804,0.0235429,0.00037946,0.02083457,-0.00167827,0.0,0.0,0.28645783,2.0,0.0,0.0,0.08119155,0.13749357,0.0,1.0,0.09271,-0.00214494,37.38196966,0.0,49.99133453,0.0,0.0,420930,1.4446926920435046,48.5466418379565,2.6381511108000004
70034,0.0013832,0.27008655,-0.13288816,-0.00275974,-0.00690659,-0.00852241,0.00729747,2.02751175,0.02340763,0.00037669,0.02054812,-0.00168679,0.0,0.0,0.28645783,2.0,0.0,0.0,0.14010179,0.13750753,0.0,1.0,0.092345,-0.00222138,37.38196966,0.0,49.99133453,0.0,0.0,420940,1.4517108433779329,48.53962368662207,2.6495490555
70035,0.00138613,0.27124592,-0.13083176,-0.00275888,-0.00705509,-0.00852621,0.00734293,2.03707535,0.02327444,0.00037393,0.02025618,-0.00169531,0.0,0.0,0.28645783,2.0,0.0,0.0,0.1791309,0.1375139,0.0,1.0,0.092345,-0.00227647,37.41248817,0.0,49.99133453,0.0,0.0,420950,1.458760281444961,48.53257424855504,2.6609224752
70036,0.00138805,0.27249809,-0.12881775,-0.00277639,-0.00718431,-0.00852284,0.00738844,2.04668166,0.02314329,0.00037114,0.01995947,-0.00170383,0.0,0.0,0.28645783,2.0,0.0,0.0,0.18541255,0.13751203,0.0,1.0,0.09271,-0.00224655,37.41248817,0.0,49.99133453,0.0,0.0,420960,1.4658431094540445,48.52549142054596,2.6732062629000004
70037,0.00138993,0.2738036,-0.12677846,-0.00279067,-0.00731031,-0.00852005,0.00743397,2.05633353,0.02301416,0.00036834,0.0196584,-0.00171234,0.0,0.0,0.28645783,2.0,0.0,0.0,0.1648647,0.13750707,0.0,1.0,0.093805,-0.00199325,37.39722892,0.0,49.99133453,0.0,0.0,420970,1.4729614550968115,48.518373074903195,2.686013316
70038,0.00139243,0.27510726,-0.12467583,-0.00278805,-0.007446,-0.00852373,0.00747954,2.06603162,0.02288711,0.00036553,0.01935275,-0.00172086,0.0,0.0,0.28645783,2.0,0.0,0.0,0.12489644,0.13749391,0.0,1.0,0.094535,-0.00165025,37.39722892,0.0,49.99133453,0.0,0.0,420980,1.4801158326637778,48.511218697336226,2.6988022206
70039,0.00139568,0.27638622,-0.12252212,-0.00276553,-0.00759236,-0.00853558,0.0075252,2.07577526,0.0227622,0.00036275,0.01904211,-0.00172938,0.0,0.0,0.30032988,2.0,0.0,0.0,0.07900182,0.13747749,0.0,1.0,0.09417,-0.00146101,37.38196966,0.0,49.99133453,0.0,0.0,420990,1.487305775551099,48.5040287544489,2.7113488182000003
70040,0.00139911,0.2775663,-0.12141478,-0.00274247,-0.00771187,-0.00854846,0.00757096,2.08556367,0.02263943,0.00035999,0.01872622,-0.00173793,0.0,0.0,0.30032988,2.0,0.0,0.0,0.05540952,0.13746237,0.0,1.0,0.093075,-0.0015735,37.32093265,0.0,49.99133453,0.0,0.0,421000,1.4945307355404256,48.49680379445958,2.722925403
70041,0.00140252,0.27845497,-0.1193553,-0.00270336,-0.00789983,-0.00856439,0.0076168,2.0953863,0.02251774,0.00035727,0.01840547,-0.00174649,0.0,0.0,0.30032988,2.0,0.0,0.0,0.06635788,0.13745327,0.0,1.0,0.09271,-0.00202974,37.30567339,0.0,49.99133453,0.0,0.0,421010,1.5017829495549906,48.48955158044501,2.7316432557000003
70042,0.0014059,0.27948171,-0.11717997,-0.0026095,-0.00808182,-0.00858536,0.00766273,2.10524169,0.02239819,0.00035459,0.01807792,-0.00175506,0.0,0.0,0.30032988,2.0,0.0,0.0,0.10044328,0.13745592,0.0,1.0,0.093075,-0.00262244,37.22937712,0.0,49.99133453,0.0,0.0,421020,1.509061360100291,48.48227316989971,2.7417155751
