STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
34873,0.00396017,-0.01299787,0.0006933,-0.0173848,-0.00013465,-0.00289058,0.04115328,9.62287068,-0.00134208,-0.00131516,-0.08100175,-0.00823938,0.0,0.0,0.18935348,2.0,0.0,0.0,0.24652378,0.12362494,0.0,1.0,0.161695,0.00192031,0.0,0.0,49.98496746,0.0,0.0,271910,7.64727804970323,42.33768941029677,-0.1275091047
34874,0.00392666,-0.01298489,0.00086457,-0.01706354,-0.00013169,-0.00287546,0.04121335,9.62241233,-0.0013413,-0.00133239,-0.08099348,-0.00824227,0.0,0.0,0.18935348,2.0,0.0,0.0,0.35837551,0.12363823,0.0,1.0,0.16133,0.00175058,0.0,0.0,49.98496746,0.0,0.0,271920,7.646868105285931,42.33809935471407,-0.1273817709
34875,0.00389327,-0.01295431,0.0011887,-0.01672337,-0.00013553,-0.00285682,0.04127221,9.62195426,-0.00134026,-0.00134927,-0.0809853,-0.00824514,0.0,0.0,0.16160938,2.0,0.0,0.0,0.43234919,0.12366531,0.0,1.0,0.16279,0.00193917,0.0,0.0,49.98496746,0.0,0.0,271930,7.646458415647496,42.338509044352506,-0.1270817811
34876,0.00385996,-0.01291659,0.001417,-0.01640264,-0.00013441,-0.00283703,0.04132987,9.62149788,-0.00133896,-0.00136584,-0.08097712,-0.00824798,0.0,0.0,0.18935348,2.0,0.0,0.0,0.48385169,0.12372369,0.0,1.0,0.16498,0.00266374,0.0,0.0,49.98496746,0.0,0.0,271940,7.646050241838754,42.33891721816124,-0.1267117479
34877,0.0038265,-0.01289701,0.00148563,-0.01610246,-0.00012658,-0.00281859,0.04138634,9.62104301,-0.00133752,-0.0013821,-0.08096873,-0.00825081,0.0,0.0,0.16160938,2.0,0.0,0.0,0.51067644,0.12379894,0.0,1.0,0.16717,0.00392431,0.0,0.0,49.98496746,0.0,0.0,271950,7.645643422827226,42.33932403717277,-0.1265196681
34878,0.00379308,-0.01286749,0.00179801,-0.01576412,-0.00013046,-0.00279725,0.04144159,9.62058803,-0.00133586,-0.00139803,-0.08096041,-0.00825362,0.0,0.0,0.18935348,2.0,0.0,0.0,0.46635853,0.12387746,0.0,1.0,0.1679,0.00544061,0.0,0.0,49.98496746,0.0,0.0,271960,7.645236509724631,42.33973095027537,-0.1262300769
34879,0.00375968,-0.01285024,0.00185918,-0.01546141,-0.00012264,-0.00277802,0.04149565,9.62013485,-0.00133405,-0.00141365,-0.08095192,-0.0082564,0.0,0.0,0.18935348,2.0,0.0,0.0,0.33132147,0.12391572,0.0,1.0,0.16717,0.00675081,0.0,0.0,49.98496746,0.0,0.0,271970,7.644831210722902,42.340136249277094,-0.1260608544
34880,0.00372642,-0.01282327,0.00216344,-0.01511671,-0.00012647,-0.00275703,0.04154851,9.61968148,-0.00133203,-0.00142894,-0.08094349,-0.00825917,0.0,0.0,0.16160938,2.0,0.0,0.0,0.11653273,0.12389158,0.0,1.0,0.165345,0.00730828,0.0,0.0,49.98496746,0.0,0.0,271980,7.644425746053948,42.34054171394605,-0.1257962787
34881,0.00369341,-0.0127902,0.00237173,-0.01478468,-0.00012528,-0.00273708,0.04160018,9.61922965,-0.00132976,-0.00144389,-0.08093507,-0.00826192,0.0,0.0,0.16160938,2.0,0.0,0.0,0.00012456,0.12382408,0.0,1.0,0.16352,0.00691044,0.0,0.0,49.98496746,0.0,0.0,271990,7.644021662898354,42.34094579710165,-0.125471862
34882,0.00366056,-0.01275833,0.00257345,-0.01444695,-0.00012391,-0.00271855,0.04165066,9.61877898,-0.00132729,-0.0014585,-0.08092663,-0.00826465,0.0,0.0,0.18935348,2.0,0.0,0.0,0.02403322,0.12376976,0.0,1.0,0.16133,0.00604704,0.0,0.0,49.98496746,0.0,0.0,272000,7.643618621374451,42.34134883862555,-0.1251592173
