STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
53123,-0.3673103,-0.11630966,-0.06694415,0.1225723,-0.01159697,0.05091243,-1.58608645,26.36396562,-0.00337185,-0.00209243,-0.16683118,0.47730113,0.0,0.0,0.10612118,2.0,0.0,0.0,13.70742532,-2.85967254,0.0,1.0,2.76597,0.2627448,0.0,0.0,49.97015389,0.0,0.0,459310,25.524144286717885,24.44600960328211,-1.1409977646
53124,-0.36721171,-0.11628298,-0.06679297,0.12422992,-0.01163571,0.04847882,-1.58647292,26.3606163,-0.00343872,-0.00196902,-0.1671549,0.47735082,0.0,0.0,0.10612118,2.0,0.0,0.0,13.68482227,-2.85894804,0.0,1.0,2.764875,0.27760695,0.0,0.0,49.97015389,0.0,0.0,459320,25.51998692480984,24.450166965190157,-1.1407360338
53125,-0.36711149,-0.11624781,-0.06661937,0.12584926,-0.01167444,0.04607735,-1.58685623,26.35726834,-0.00350544,-0.00184396,-0.16747805,0.4773981,0.0,0.0,0.10612118,2.0,0.0,0.0,13.53586382,-2.85830002,0.0,1.0,2.76524,0.29213672,0.0,0.0,49.97015389,0.0,0.0,459330,25.515831483315814,24.454322406684184,-1.1403910161
53126,-0.3670096,-0.116204,-0.06642757,0.12743,-0.01171301,0.04371025,-1.58723637,26.35392206,-0.00357196,-0.00171731,-0.16780061,0.47744299,0.0,0.0,0.10612118,2.0,0.0,0.0,13.48707535,-2.85764054,0.0,1.0,2.764145,0.305318,0.0,0.0,49.97015389,0.0,0.0,459340,25.511678359099033,24.45847553090097,-1.13996124
53127,-0.366906,-0.11615147,-0.06622126,0.12897488,-0.01175127,0.0413791,-1.58761335,26.35057773,-0.00363829,-0.0015891,-0.1681226,0.47748553,0.0,0.0,0.10612118,2.0,0.0,0.0,13.31360901,-2.85696296,0.0,1.0,2.7594,0.31813709,0.0,0.0,49.97015389,0.0,0.0,459350,25.507527886883487,24.46262600311651,-1.1394459207
53128,-0.36680062,-0.11609024,-0.06600333,0.13048256,-0.01178911,0.03908516,-1.58798716,26.34723568,-0.00370441,-0.00145935,-0.16844399,0.47752576,0.0,0.0,0.10612118,2.0,0.0,0.0,13.24050666,-2.85624896,0.0,1.0,2.753925,0.33140183,0.0,0.0,49.97015389,0.0,0.0,459360,25.50338047577515,24.46677341422485,-1.1388452544
53129,-0.36669338,-0.1160204,-0.06577568,0.13194961,-0.01182642,0.03682939,-1.58835781,26.3438962,-0.0037703,-0.00132813,-0.16876478,0.47756371,0.0,0.0,0.11999323,2.0,0.0,0.0,12.9855283,-2.85558135,0.0,1.0,2.75064,0.34484945,0.0,0.0,49.97015389,0.0,0.0,459370,25.4992364851539,24.470917404846094,-1.138160124
53130,-0.36658509,-0.11593979,-0.06560441,0.13355177,-0.0118605,0.03461427,-1.58872531,26.34055967,-0.003836,-0.00119528,-0.16908489,0.47759943,0.0,0.0,0.11999323,2.0,0.0,0.0,12.87981702,-2.85481661,0.0,1.0,2.74918,0.35859196,0.0,0.0,49.97015389,0.0,0.0,459380,25.495096385992216,24.475057504007783,-1.1373693399
53131,-0.36647412,-0.11584987,-0.06536664,0.13497643,-0.01189518,0.03243221,-1.58908963,26.33722626,-0.00390149,-0.00106103,-0.16940432,0.47763295,0.0,0.0,0.13386528,2.0,0.0,0.0,12.7843409,-2.85406294,0.0,1.0,2.746625,0.37247232,0.0,0.0,49.97015389,0.0,0.0,459390,25.490960388603376,24.479193501396622,-1.1364872247
53132,-0.36636141,-0.11575739,-0.0651759,0.13648749,-0.01192835,0.03028997,-1.58945077,26.33389647,-0.00396677,-0.0009252,-0.16972298,0.47766431,0.0,0.0,0.13386528,2.0,0.0,0.0,12.70472698,-2.85334428,0.0,1.0,2.743705,0.38535466,0.0,0.0,49.97015389,0.0,0.0,459400,25.486829112674435,24.483324777325564,-1.1355799959
53133,-0.36624545,-0.1156639,-0.06491565,0.13778288,-0.01196322,0.02817873,-1.58980868,26.33057017,-0.00403182,-0.00078806,-0.17004094,0.47769355,0.0,0.0,0.13386528,2.0,0.0,0.0,12.72252402,-2.85255548,0.0,1.0,2.738595,0.39775124,0.0,0.0,49.90439551,0.0,0.0,459410,25.482702396178325,24.421693113821675,-1.134662859
53134,-0.36612707,-0.11556653,-0.06463989,0.13903986,-0.01199771,0.02610021,-1.59016331,26.32724747,-0.00409661,-0.00064964,-0.17035822,0.47772069,0.0,0.0,0.14773733,2.0,0.0,0.0,12.59158258,-2.85187744,0.0,1.0,2.73385,0.40968855,0.0,0.0,49.90439551,0.0,0.0,459420,25.47858037485163,24.42581513514837,-1.1337076593000002
53135,-0.3660073,-0.1154631,-0.06440503,0.14047846,-0.01203102,0.02405439,-1.59051469,26.32392859,-0.00416114,-0.00050976,-0.1706748,0.47774576,0.0,0.0,0.14773733,2.0,0.0,0.0,12.54710088,-2.85108518,0.0,1.0,2.730565,0.42166705,0.0,0.0,49.90439551,0.0,0.0,459430,25.474463320852113,24.429932189147888,-1.132693011
53136,-0.36588377,-0.11536144,-0.06412136,0.1416575,-0.01206371,0.02203331,-1.59086272,26.32061353,-0.00422541,-0.00036869,-0.17099061,0.47776881,0.0,0.0,0.14773733,2.0,0.0,0.0,12.37319182,-2.8503378,0.0,1.0,2.72582,0.43430099,0.0,0.0,49.90439551,0.0,0.0,459440,25.470351233391643,24.43404427660836,-1.1316957264
53137,-0.36575757,-0.11525853,-0.06382937,0.14279807,-0.01209574,0.02003741,-1.59120737,26.3173023,-0.0042894,-0.00022646,-0.17130568,0.47778985,0.0,0.0,0.14773733,2.0,0.0,0.0,12.29769094,-2.84952773,0.0,1.0,2.721805,0.44731263,0.0,0.0,49.90439551,0.0,0.0,459450,25.46624412408626,24.43815138591374,-1.1306861793
53138,-0.36562867,-0.11515473,-0.06353471,0.14389506,-0.01212684,0.01806434,-1.5915486,26.31399493,-0.00435308,-8.311e-05,-0.17161997,0.4778089,0.0,0.0,0.14773733,2.0,0.0,0.0,11.98451426,-2.8487774,0.0,1.0,2.71779,0.46026454,0.0,0.0,49.90439551,0.0,0.0,459460,25.46214202935524,24.44225348064476,-1.1296679013
53139,-0.36549707,-0.11505041,-0.06324126,0.14494707,-0.01215686,0.01611142,-1.59188635,26.31069144,-0.00441647,6.131e-05,-0.17193346,0.47782599,0.0,0.0,0.14773733,2.0,0.0,0.0,11.92660295,-2.84794359,0.0,1.0,2.71414,0.47282585,0.0,0.0,49.90439551,0.0,0.0,459470,25.458044973208715,24.44635053679129,-1.1286445221
53140,-0.36536281,-0.11494602,-0.06295108,0.14595637,-0.01218571,0.01417552,-1.59222058,26.30739184,-0.00447956,0.00020676,-0.17224611,0.47784114,0.0,0.0,0.14773733,2.0,0.0,0.0,11.79580522,-2.84714082,0.0,1.0,2.71049,0.48474029,0.0,0.0,49.90439551,0.0,0.0,459480,25.453952967251084,24.450442542748917,-1.1276204562
53141,-0.36522587,-0.11483591,-0.06265023,0.14692319,-0.01221439,0.01225345,-1.59255126,26.30409613,-0.00454236,0.0003532,-0.17255789,0.47785437,0.0,0.0,0.14773733,2.0,0.0,0.0,11.71075359,-2.84635022,0.0,1.0,2.70757,0.49557476,0.0,0.0,49.90439551,0.0,0.0,459490,25.449866010684453,24.454529499315548,-1.1265402771000002
53142,-0.36508631,-0.11473279,-0.06236676,0.1478462,-0.01224082,0.01034153,-1.59287832,26.30080447,-0.00460485,0.00050058,-0.17286881,0.47786567,0.0,0.0,0.13386528,2.0,0.0,0.0,11.51394792,-2.84556713,0.0,1.0,2.702825,0.50598753,0.0,0.0,49.90439551,0.0,0.0,459500,25.44578430110889,24.45861120889111,-1.1255286699
