STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
45783,-0.2776846,-0.08760859,-0.19279534,-0.01058845,-0.00800093,0.00229706,-1.29000824,24.95077021,-0.0054869,-0.00712528,-0.21101657,0.37563955,0.0,0.0,0.11999323,2.0,0.0,0.0,2.26733411,-2.41349646,0.0,1.0,2.71487,-0.4936895,0.83605457,0.0,49.99342495,0.0,0.0,311490,23.790649925790696,26.202775024209306,-0.8594402679
45784,-0.27785653,-0.08864155,-0.1939616,-0.01046295,-0.00806121,-0.00135769,-1.29044465,24.94814342,-0.00567918,-0.00713583,-0.21117133,0.37563996,0.0,0.0,0.11999323,2.0,0.0,0.0,2.26917798,-2.41392727,0.0,1.0,2.710855,-0.49186155,0.80553606,0.0,49.99342495,0.0,0.0,311500,23.787466308736818,26.20595864126318,-0.8695736055000001
45785,-0.27802059,-0.08965481,-0.19511081,-0.01021362,-0.00811966,-0.00482137,-1.29088803,24.94548069,-0.0058726,-0.00714619,-0.21132343,0.3756368,0.0,0.0,0.11999323,2.0,0.0,0.0,2.30166591,-2.41433867,0.0,1.0,2.707205,-0.48976707,0.80553606,0.0,49.99342495,0.0,0.0,311510,23.784239279044023,26.209185670955975,-0.8795136861
45786,-0.27817585,-0.09065021,-0.19608492,-0.00984611,-0.00818153,-0.00807619,-1.29133818,24.94278273,-0.00606715,-0.00715624,-0.21147276,0.37563028,0.0,0.0,0.11999323,2.0,0.0,0.0,2.36755463,-2.41473686,0.0,1.0,2.70538,-0.48737168,0.75975829,0.0,49.99342495,0.0,0.0,311520,23.780969703068884,26.21245524693111,-0.8892785601
45787,-0.27832151,-0.09162907,-0.19681322,-0.0093657,-0.0082492,-0.01110676,-1.29179486,24.94005013,-0.00626265,-0.00716586,-0.21161944,0.37562062,0.0,0.0,0.11999323,2.0,0.0,0.0,2.44913298,-2.41513142,0.0,1.0,2.702825,-0.48480634,0.75975829,0.0,49.99342495,0.0,0.0,311530,23.777658301673178,26.21576664832682,-0.8988811767000001
45788,-0.27845689,-0.09259121,-0.19740929,-0.00877568,-0.00831907,-0.01390024,-1.29225781,24.93728346,-0.00645886,-0.00717495,-0.21176364,0.37560803,0.0,0.0,0.11999323,2.0,0.0,0.0,2.51690848,-2.41553164,0.0,1.0,2.69954,-0.48223578,0.74449904,0.0,49.99342495,0.0,0.0,311540,23.77430577142596,26.219119178574037,-0.9083197701
45789,-0.27858133,-0.09353698,-0.1977784,-0.00808141,-0.00839411,-0.01644395,-1.29272673,24.93448332,-0.00665564,-0.0071834,-0.21190543,0.37559278,0.0,0.0,0.11999323,2.0,0.0,0.0,2.57389791,-2.4159446,0.0,1.0,2.696985,-0.47989195,0.74449904,0.0,49.99342495,0.0,0.0,311550,23.770912845188622,26.222512104811372,-0.9175977738
45790,-0.27869427,-0.09446557,-0.1979569,-0.00728563,-0.00847305,-0.01872782,-1.29320132,24.93165028,-0.00685278,-0.0071911,-0.21204497,0.37557512,0.0,0.0,0.11999323,2.0,0.0,0.0,2.63099833,-2.41635789,0.0,1.0,2.694795,-0.47787216,0.74449904,0.0,49.99342495,0.0,0.0,311560,23.76748021940547,26.225944730594527,-0.9267072417
45791,-0.27879523,-0.09537577,-0.19794982,-0.00639234,-0.00855554,-0.02074319,-1.29368121,24.92878497,-0.00705007,-0.00719796,-0.2121824,0.3755553,0.0,0.0,0.11999323,2.0,0.0,0.0,2.68191585,-2.41675996,0.0,1.0,2.691145,-0.47596808,0.72923978,0.0,49.99342495,0.0,0.0,311570,23.764008663148115,26.229416286851883,-0.9356363037
45792,-0.27888383,-0.09626544,-0.19783894,-0.00540627,-0.0086387,-0.02248355,-1.29416605,24.92588806,-0.00724734,-0.00720387,-0.21231783,0.3755336,0.0,0.0,0.11999323,2.0,0.0,0.0,2.71265842,-2.41714731,0.0,1.0,2.68713,-0.47384236,0.72923978,0.0,49.99342495,0.0,0.0,311580,23.76049899386381,26.232925956136192,-0.9443639664
