STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
30613,0.07367465,0.12564062,-0.13510748,0.04469543,0.00408858,-0.13892103,0.28829824,28.46152906,-0.00157208,0.0081149,-0.35856269,-0.07883394,0.0,0.0,0.21709758,2.0,0.0,0.0,3.12079436,0.60050787,0.0,1.0,-2.285265,0.98899516,11.79219947,0.0,49.87114627,0.0,0.0,248300,28.173413302100172,21.697732967899825,1.2325344822000002
30614,0.07379249,0.12185231,-0.14675685,0.04422391,0.00412706,-0.14022992,0.2886535,28.46592314,-0.00170785,0.00815936,-0.35837903,-0.07897346,0.0,0.0,0.21709758,2.0,0.0,0.0,3.13724972,0.60161506,0.0,1.0,-2.288915,0.9923381,10.96819971,0.0,49.87114627,0.0,0.0,248310,28.179058814090176,21.69208745590982,1.1953711611000002
30615,0.07390797,0.11787469,-0.15635957,0.04367811,0.00409084,-0.14160865,0.28900853,28.47018049,-0.00185528,0.00820332,-0.35819011,-0.07911434,0.0,0.0,0.21709758,2.0,0.0,0.0,3.14949117,0.60274056,0.0,1.0,-2.289645,0.99608315,9.99160741,0.0,49.87114627,0.0,0.0,248320,28.18452903703961,21.686617232960387,1.1563507089
30616,0.0740197,0.11372142,-0.16737047,0.04307469,0.00409038,-0.14309815,0.2893632,28.47429425,-0.00201235,0.0082467,-0.35799828,-0.07925664,0.0,0.0,0.23096963,2.0,0.0,0.0,3.18976793,0.60386178,0.0,1.0,-2.28855,0.99984434,9.27442244,0.0,49.87114627,0.0,0.0,248330,28.189815119535155,21.68133115046484,1.1156071302
30617,0.0741274,0.1094006,-0.18104738,0.04237764,0.00416659,-0.14471283,0.28971736,28.47825834,-0.00218051,0.0082894,-0.3578019,-0.07940048,0.0,0.0,0.23096963,2.0,0.0,0.0,3.25298255,0.60498184,0.0,1.0,-2.288185,1.00337208,8.60301523,0.0,49.87114627,0.0,0.0,248340,28.19490921144484,21.67623705855516,1.073219886
30618,0.07423028,0.10488863,-0.19561425,0.04163956,0.00426039,-0.1464589,0.29007081,28.48206658,-0.00236231,0.00833141,-0.35759807,-0.07954599,0.0,0.0,0.23096963,2.0,0.0,0.0,3.28912275,0.60609354,0.0,1.0,-2.291105,1.006715,8.60301523,0.0,49.87114627,0.0,0.0,248350,28.19980333347664,21.67134293652336,1.0289574603
30619,0.07432792,0.10016164,-0.2085882,0.04079104,0.0042913,-0.1483523,0.29042332,28.48571211,-0.00255869,0.00837265,-0.35738572,-0.07969332,0.0,0.0,0.23096963,2.0,0.0,0.0,3.32331171,0.60720182,0.0,1.0,-2.29512,1.00985666,8.09945982,0.0,49.87114627,0.0,0.0,248360,28.20448863188515,21.666657638114845,0.9825856884
30620,0.07441987,0.0951976,-0.21776137,0.03980888,0.00418795,-0.15040582,0.29077464,28.48918707,-0.00276807,0.00841298,-0.35716671,-0.07984263,0.0,0.0,0.23096963,2.0,0.0,0.0,3.35872234,0.6083247,0.0,1.0,-2.299135,1.01302953,7.62642293,0.0,49.87114627,0.0,0.0,248370,28.2089549671255,21.662191302874497,0.933888456
30621,0.07450507,0.0900136,-0.2255975,0.03872013,0.00403053,-0.15265155,0.29112452,28.49248298,-0.00298666,0.00845227,-0.35694543,-0.0799941,0.0,0.0,0.23096963,2.0,0.0,0.0,3.36318348,0.60945498,0.0,1.0,-2.30242,1.01649026,7.15338603,0.0,49.87114627,0.0,0.0,248380,28.213191402198113,21.657954867801884,0.8830334160000001
30622,0.07458344,0.08463015,-0.23372403,0.03755346,0.00387472,-0.15509451,0.29147267,28.49559234,-0.00321315,0.00849043,-0.35672349,-0.08014791,0.0,0.0,0.21709758,2.0,0.0,0.0,3.37029671,0.61059308,0.0,1.0,-2.30388,1.02016112,6.5887936,0.0,49.87114627,0.0,0.0,248390,28.21718825946895,21.65395801053105,0.8302217715000001
30623,0.07465488,0.07908844,-0.24301192,0.03636123,0.00374928,-0.15773414,0.2918188,28.49850845,-0.00344776,0.00852741,-0.35650063,-0.08030425,0.0,0.0,0.21709758,2.0,0.0,0.0,3.4089303,0.61174114,0.0,1.0,-2.30534,1.02391589,6.5887936,0.0,49.8020025,0.0,0.0,248400,28.22093688989382,21.58106561010618,0.7758575964
