STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
38733,-0.45765392,-0.12587502,0.01092712,0.03654009,-0.00845939,-0.028673,-1.67276673,29.43791673,-0.01352669,0.00286255,-0.21760729,0.54472133,0.0,0.0,0.18935348,2.0,0.0,0.0,12.4605146,-2.98572481,0.0,1.0,3.01052,0.27362566,0.0,0.0,49.98050872,0.0,0.0,347200,29.437708337486903,20.5428003825131,-1.2348339462000002
38734,-0.45745827,-0.12591031,0.01094499,0.03809844,-0.00843855,-0.02890171,-1.67289234,29.43438494,-0.01351573,0.00289988,-0.2175029,0.54469256,0.0,0.0,0.18935348,2.0,0.0,0.0,12.55239406,-2.98504098,0.0,1.0,3.005045,0.28596055,0.0,0.0,49.98050872,0.0,0.0,347210,29.433099530773053,20.54740918922695,-1.2351801411
38735,-0.45726272,-0.12594123,0.01098152,0.03964003,-0.00841884,-0.02914751,-1.67301383,29.43085201,-0.01350475,0.00293877,-0.21739809,0.54466355,0.0,0.0,0.18935348,2.0,0.0,0.0,12.74463596,-2.98433338,0.0,1.0,2.999205,0.29822536,0.0,0.0,49.98050872,0.0,0.0,347220,29.428489495007614,20.552019224992385,-1.2354834662999998
38736,-0.45706725,-0.12596731,0.01103512,0.04115938,-0.00840018,-0.02940931,-1.6731312,29.42731808,-0.01349373,0.00297919,-0.21729291,0.54463429,0.0,0.0,0.18935348,2.0,0.0,0.0,12.90300356,-2.98359096,0.0,1.0,2.99373,0.3106325,0.0,0.0,49.98050872,0.0,0.0,347230,29.42387841310823,20.55663030689177,-1.2357393111
38737,-0.45687187,-0.1259881,0.01110333,0.04264907,-0.00838245,-0.02968577,-1.67324447,29.42378334,-0.01348265,0.00302112,-0.21718739,0.54460476,0.0,0.0,0.18935348,2.0,0.0,0.0,13.00976912,-2.98289492,0.0,1.0,2.988985,0.32290296,0.0,0.0,49.98050872,0.0,0.0,347240,29.41926653318626,20.561242186813743,-1.235943261
38738,-0.45667663,-0.1260032,0.01118341,0.04411149,-0.00836558,-0.02997604,-1.67335365,29.42024797,-0.0134715,0.00306452,-0.21708155,0.54457495,0.0,0.0,0.18935348,2.0,0.0,0.0,13.20998195,-2.98207789,0.0,1.0,2.98424,0.33564504,0.0,0.0,49.98050872,0.0,0.0,347250,29.41465409025121,20.56585462974879,-1.236091392
38739,-0.45648154,-0.12601218,0.01127267,0.04554476,-0.00834947,-0.03027919,-1.67345875,29.41671218,-0.01346027,0.00310936,-0.21697544,0.54454484,0.0,0.0,0.18935348,2.0,0.0,0.0,13.2830813,-2.98133831,0.0,1.0,2.980225,0.34869558,0.0,0.0,49.98050872,0.0,0.0,347260,29.41004135839632,20.570467361603683,-1.2361794858
38740,-0.45628664,-0.1260147,0.01136894,0.04694971,-0.00833403,-0.03059448,-1.67355979,29.41317619,-0.01344894,0.00315563,-0.21686907,0.54451442,0.0,0.0,0.16160938,2.0,0.0,0.0,13.42962221,-2.98050992,0.0,1.0,2.975845,0.36172086,0.0,0.0,49.98050872,0.0,0.0,347270,29.405428624697983,20.57508009530202,-1.236204207
38741,-0.45609026,-0.12601528,0.01160431,0.0479544,-0.00832407,-0.03092744,-1.67365674,29.40964006,-0.01343742,0.00320291,-0.2167626,0.54448367,0.0,0.0,0.18935348,2.0,0.0,0.0,13.55586533,-2.9796846,0.0,1.0,2.97037,0.37519676,0.0,0.0,49.98050872,0.0,0.0,347280,29.40081596746416,20.57969275253584,-1.2362098968000002
38742,-0.45589777,-0.12598761,0.01161036,0.04966475,-0.00830681,-0.0312532,-1.67374971,29.40610443,-0.01342583,0.00325193,-0.21665588,0.5444526,0.0,0.0,0.18935348,2.0,0.0,0.0,13.67423128,-2.97885363,0.0,1.0,2.96672,0.38864569,0.0,0.0,49.98050872,0.0,0.0,347290,29.396204221494692,20.58430449850531,-1.2359384541
