STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
19663,-0.03883771,0.2288561,0.31411198,-0.07807551,0.00573342,0.02834026,-0.17016517,29.55454441,-0.02608612,-0.00500301,-0.47053857,0.04856661,0.0,0.0,0.23096963,2.0,0.0,0.0,2.32389454,-0.31452225,0.0,1.0,1.338455,-0.0978743,30.04226814,0.0,49.97267358,0.0,0.0,183750,29.590046732984213,20.382626847015786,2.245078341
19664,-0.03891376,0.22943669,0.31521456,-0.07583521,0.00582492,0.02800275,-0.17009978,29.56265748,-0.02577184,-0.00507996,-0.46956848,0.04859477,0.0,0.0,0.23096963,2.0,0.0,0.0,2.31297557,-0.31455787,0.0,1.0,1.336995,-0.09604373,30.04226814,0.0,49.97267358,0.0,0.0,183760,29.600654462895484,20.37201911710451,2.2507739289
19665,-0.03898913,0.23001273,0.31621138,-0.07358612,0.00592073,0.02766711,-0.17003581,29.57079082,-0.02545648,-0.00515467,-0.46860422,0.0486226,0.0,0.0,0.23096963,2.0,0.0,0.0,2.36080594,-0.31458581,0.0,1.0,1.335535,-0.09411429,30.04226814,0.0,49.97267358,0.0,0.0,183770,29.61129006457671,20.361383515423285,2.2564248813
19666,-0.03906387,0.23058258,0.31712154,-0.07132584,0.00602008,0.02733305,-0.16997324,29.57894423,-0.02514017,-0.00522712,-0.46764567,0.0486501,0.0,0.0,0.23096963,2.0,0.0,0.0,2.37112329,-0.31460326,0.0,1.0,1.334075,-0.09198943,30.04226814,0.0,49.97267358,0.0,0.0,183780,29.6219532866947,20.350720293305297,2.2620151098
19667,-0.03913802,0.23112754,0.31792042,-0.06905289,0.00612531,0.02700025,-0.16991207,29.58711747,-0.02482297,-0.0052973,-0.46669274,0.04867726,0.0,0.0,0.21709758,2.0,0.0,0.0,2.39112218,-0.31462289,0.0,1.0,1.332615,-0.08967361,30.04226814,0.0,49.97267358,0.0,0.0,183790,29.632643825483186,20.340029754516813,2.2673611674
19668,-0.03921152,0.23167756,0.31876289,-0.06678475,0.00622778,0.02666814,-0.16985228,29.59530954,-0.02450496,-0.00536523,-0.46574532,0.04870409,0.0,0.0,0.21709758,2.0,0.0,0.0,2.39875099,-0.31464314,0.0,1.0,1.331155,-0.08736763,30.04226814,0.0,49.97267358,0.0,0.0,183800,29.64336038277011,20.32931319722989,2.2727568636
19669,-0.03928461,0.23222136,0.31949552,-0.06448377,0.00633416,0.02633745,-0.16979387,29.6035208,-0.02418618,-0.00543086,-0.46480342,0.04873059,0.0,0.0,0.21709758,2.0,0.0,0.0,2.36941063,-0.31466193,0.0,1.0,1.33006,-0.0850743,30.04226814,0.0,49.97267358,0.0,0.0,183810,29.654103439174808,20.31857014082519,2.2780915416
19670,-0.03935722,0.23275424,0.32016849,-0.06216737,0.00644249,0.02600731,-0.16973682,29.61175092,-0.02386669,-0.00549418,-0.46386698,0.04875676,0.0,0.0,0.21709758,2.0,0.0,0.0,2.3509841,-0.31467936,0.0,1.0,1.328965,-0.08269024,30.04226814,0.0,49.97267358,0.0,0.0,183820,29.66487257265861,20.30780100734139,2.2833190944
19671,-0.03942939,0.23327487,0.32078298,-0.05983505,0.00655258,0.02567738,-0.16968114,29.61999949,-0.02354656,-0.00555518,-0.46293596,0.0487826,0.0,0.0,0.21709758,2.0,0.0,0.0,2.3386793,-0.31469663,0.0,1.0,1.326775,-0.08034537,30.04226814,0.0,49.97267358,0.0,0.0,183830,29.67566725627939,20.29700632372061,2.2884264747
19672,-0.03950114,0.23378208,0.32133676,-0.05748745,0.00666434,0.02534735,-0.16962681,29.62826604,-0.02322586,-0.00561383,-0.46201033,0.04880811,0.0,0.0,0.20322553,2.0,0.0,0.0,2.30806697,-0.31471471,0.0,1.0,1.324585,-0.07803733,30.05752739,0.0,49.97267358,0.0,0.0,183840,29.68648688430039,20.28618669569961,2.2934022048
