STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
58033,0.17188317,0.17064791,-0.03828506,0.09463026,-0.00661923,-0.1772666,0.59162055,31.36436351,-0.00276955,0.00856659,-0.42079459,-0.1699599,0.0,0.0,0.20322553,2.0,0.0,0.0,7.61819178,1.1501726,0.0,1.0,-2.878755,1.46297195,24.74730674,0.0,49.97054401,0.0,0.0,422520,31.990144143671092,17.980399866328906,1.6740559971000002
58034,0.17204638,0.17071869,-0.03779771,0.09566084,-0.00660638,-0.17882618,0.592356,31.37049295,-0.00280764,0.00866169,-0.42094564,-0.17013792,0.0,0.0,0.18935348,2.0,0.0,0.0,7.3970062,1.15170295,0.0,1.0,-2.87839,1.46983619,24.762566,0.0,49.97054401,0.0,0.0,422530,31.99838804084262,17.972155969157377,1.6747503489000002
58035,0.17221007,0.17078452,-0.03726835,0.09671864,-0.00659484,-0.18039357,0.59309052,31.376625,-0.0028452,0.00875786,-0.42109515,-0.1703175,0.0,0.0,0.20322553,2.0,0.0,0.0,7.29920995,1.15338644,0.0,1.0,-2.87839,1.47643326,24.762566,0.0,49.97054401,0.0,0.0,422540,32.00663622736869,17.96390778263131,1.6753961412
58036,0.17237518,0.1708541,-0.03682921,0.09759217,-0.00657915,-0.18197429,0.59382412,31.38275977,-0.00288232,0.00885493,-0.421243,-0.17049866,0.0,0.0,0.20322553,2.0,0.0,0.0,7.10912094,1.1550411,0.0,1.0,-2.87912,1.48377986,24.762566,0.0,49.97054401,0.0,0.0,422550,32.01488885222554,17.95565515777446,1.676078721
58037,0.17254071,0.17091661,-0.03635642,0.09848976,-0.00656446,-0.18355998,0.59455675,31.38889709,-0.00291896,0.00895291,-0.42138923,-0.1706814,0.0,0.0,0.20322553,2.0,0.0,0.0,6.83147298,1.15668257,0.0,1.0,-2.87693,1.49093729,24.77782525,0.0,49.97054401,0.0,0.0,422560,32.023145687730384,17.947398322269613,1.6766919441
58038,0.17270695,0.17097473,-0.03587914,0.0993404,-0.00654951,-0.18515168,0.59528838,31.3950368,-0.00295513,0.00905177,-0.42153383,-0.17086573,0.0,0.0,0.20322553,2.0,0.0,0.0,6.59768206,1.15832445,0.0,1.0,-2.874375,1.49793236,24.77782525,0.0,49.97054401,0.0,0.0,422570,32.03140651956977,17.939137490430227,1.6772621013
58039,0.17287389,0.1710278,-0.03535245,0.10014655,-0.00653575,-0.18674798,0.596019,31.40117873,-0.00299083,0.00915146,-0.42167681,-0.17105166,0.0,0.0,0.18935348,2.0,0.0,0.0,6.40660429,1.15999019,0.0,1.0,-2.87401,1.50498157,24.77782525,0.0,49.97054401,0.0,0.0,422580,32.03967111989253,17.930872890107466,1.6777827180000002
58040,0.1730412,0.17106046,-0.03479982,0.10098423,-0.00652151,-0.18834669,0.59674855,31.40732261,-0.00302596,0.009252,-0.4218183,-0.17123918,0.0,0.0,0.20322553,2.0,0.0,0.0,6.31158134,1.16168083,0.0,1.0,-2.8762,1.51219032,24.77782525,0.0,49.97054401,0.0,0.0,422590,32.047939126181845,17.922604883818153,1.6781031126
58041,0.17320984,0.17110839,-0.03436774,0.10164045,-0.00650353,-0.18995396,0.59747704,31.41346801,-0.00306062,0.00935322,-0.42195811,-0.1714283,0.0,0.0,0.20322553,2.0,0.0,0.0,6.24247159,1.16340692,0.0,1.0,-2.87985,1.5195024,24.77782525,0.0,49.97054401,0.0,0.0,422600,32.056209960436256,17.91433404956374,1.6785733059
58042,0.1733789,0.17114796,-0.03390993,0.10232532,-0.00648632,-0.19156093,0.59820442,31.41961518,-0.00309482,0.00945515,-0.42209629,-0.17161904,0.0,0.0,0.20322553,2.0,0.0,0.0,6.15904197,1.16513098,0.0,1.0,-2.885325,1.52674869,24.77782525,0.0,49.97054401,0.0,0.0,422610,32.06448395974864,17.906060050251355,1.6789614876
58043,0.1735487,0.17118222,-0.03346086,0.10296676,-0.00646844,-0.19316953,0.59893066,31.4257639,-0.00312856,0.00955774,-0.42223283,-0.17181138,0.0,0.0,0.20322553,2.0,0.0,0.0,6.06964128,1.16685583,0.0,1.0,-2.888975,1.53364171,24.77782525,0.0,49.95451741,0.0,0.0,422620,32.07276082863659,17.881756581363412,1.6792975782
58044,0.17371924,0.17121101,-0.03301018,0.10356817,-0.00645026,-0.19477933,0.59965574,31.43191399,-0.00316185,0.00966095,-0.42236773,-0.17200533,0.0,0.0,0.20322553,2.0,0.0,0.0,5.94155259,1.16854381,0.0,1.0,-2.893355,1.53998771,24.77782525,0.0,49.95451741,0.0,0.0,422630,32.0810403253579,17.873477084642104,1.6795800081
58045,0.17389054,0.17123425,-0.03255138,0.10413452,-0.00643198,-0.19639017,0.60037963,31.43806525,-0.0031947,0.00976475,-0.42250099,-0.17220089,0.0,0.0,0.20322553,2.0,0.0,0.0,5.74913298,1.17019821,0.0,1.0,-2.8981,1.54559512,24.77782525,0.0,49.95451741,0.0,0.0,422640,32.0893221811501,17.8651952288499,1.6798079925000002
