STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
30633,-0.03876007,0.16667035,0.00046768,-0.01202994,-0.00219654,0.01783641,-0.23293871,25.76610542,-1.585e-05,0.00321009,-0.32767415,0.05590388,0.0,0.0,0.24484168,2.0,0.0,0.0,5.00537312,-0.38100168,0.0,1.0,1.075655,0.29445762,23.92330699,0.0,49.98301808,0.0,0.0,270140,24.785729513424588,25.197288566575413,1.6350361335
30634,-0.0387139,0.16663888,0.00035585,-0.01201048,-0.00219155,0.01699414,-0.23286698,25.77200405,-1.54e-05,0.00319807,-0.32775053,0.0559213,0.0,0.0,0.24484168,2.0,0.0,0.0,4.85948018,-0.38062855,0.0,1.0,1.069085,0.29845843,23.92330699,0.0,49.98301808,0.0,0.0,270150,24.79297871148867,25.190039368511332,1.6347274128
30635,-0.03866802,0.16660513,0.00025044,-0.0119882,-0.00218672,0.0161499,-0.23279285,25.77790152,-1.506e-05,0.00318606,-0.32782675,0.05593787,0.0,0.0,0.23096963,2.0,0.0,0.0,4.71067146,-0.3802452,0.0,1.0,1.063245,0.30246028,23.92330699,0.0,49.98301808,0.0,0.0,270160,24.80022720470935,25.18279087529065,1.6343963253
30636,-0.03862233,0.16656676,0.00022944,-0.01198756,-0.00218507,0.01530366,-0.23271635,25.78379768,-1.479e-05,0.00317405,-0.32790286,0.0559536,0.0,0.0,0.21709758,2.0,0.0,0.0,4.56022134,-0.37985334,0.0,1.0,1.058135,0.30649851,23.93856624,0.0,49.98301808,0.0,0.0,270170,24.80747480827109,25.175543271728912,1.6340199156000002
30637,-0.03857698,0.16652867,0.00027026,-0.0119855,-0.00218549,0.01445656,-0.23263752,25.78969248,-1.452e-05,0.00316205,-0.32797894,0.05596849,0.0,0.0,0.21709758,2.0,0.0,0.0,4.40815589,-0.37946044,0.0,1.0,1.05266,0.3105613,23.93856624,0.0,49.98301808,0.0,0.0,270180,24.814721460224213,25.168296619775788,1.6336462527
30638,-0.03853211,0.16648469,0.00030908,-0.01195967,-0.0021844,0.01360948,-0.23255639,25.79558604,-1.426e-05,0.00315007,-0.328055,0.05598252,0.0,0.0,0.21709758,2.0,0.0,0.0,4.2486912,-0.3790802,0.0,1.0,1.04755,0.31441063,23.93856624,0.0,49.98301808,0.0,0.0,270190,24.821967307611885,25.161050772388116,1.6332148089
30639,-0.03848762,0.16645315,0.00037073,-0.01193507,-0.00218507,0.01276232,-0.232473,25.80147808,-1.395e-05,0.00313811,-0.32813102,0.05599571,0.0,0.0,0.21709758,2.0,0.0,0.0,4.01914712,-0.37871616,0.0,1.0,1.04317,0.31804071,23.93856624,0.0,49.98301808,0.0,0.0,270200,24.829212005682063,25.153806074317934,1.6329054015
30640,-0.03844352,0.16642451,0.00039994,-0.01191147,-0.00218464,0.01191522,-0.23238738,25.80736905,-1.359e-05,0.00312618,-0.32820708,0.05600805,0.0,0.0,0.21709758,2.0,0.0,0.0,3.80511061,-0.3783234,0.0,1.0,1.03879,0.3217855,23.92330699,0.0,49.98301808,0.0,0.0,270210,24.836456107268628,25.146561972731373,1.6326244431
30641,-0.03839984,0.16639951,0.0003667,-0.01188877,-0.00218217,0.01106852,-0.23229956,25.81325905,-1.319e-05,0.00311427,-0.32828313,0.05601955,0.0,0.0,0.21709758,2.0,0.0,0.0,3.52264607,-0.37799257,0.0,1.0,1.03368,0.32514307,23.92330699,0.0,49.98301808,0.0,0.0,270220,24.843699734967643,25.13931834503236,1.6323791931
30642,-0.03835658,0.16637859,0.00024795,-0.01186688,-0.00217693,0.01022265,-0.2322096,25.81914824,-1.283e-05,0.00310239,-0.32835911,0.05603019,0.0,0.0,0.20322553,2.0,0.0,0.0,3.2452267,-0.37765546,0.0,1.0,1.028205,0.32799291,23.92330699,0.0,49.98301808,0.0,0.0,270230,24.850943085224113,25.132074994775888,1.6321739679
