STEP,VI_CarRealTime.Outputs.chassis_accelerations.lateral,VI_CarRealTime.Outputs.chassis_accelerations.longitudinal,VI_CarRealTime.Outputs.chassis_accelerations.pitch,VI_CarRealTime.Outputs.chassis_accelerations.roll,VI_CarRealTime.Outputs.chassis_accelerations.vertical,VI_CarRealTime.Outputs.chassis_accelerations.yaw,VI_CarRealTime.Outputs.chassis_velocities.lateral,VI_CarRealTime.Outputs.chassis_velocities.longitudinal,VI_CarRealTime.Outputs.chassis_velocities.pitch,VI_CarRealTime.Outputs.chassis_velocities.roll,VI_CarRealTime.Outputs.chassis_velocities.vertical,VI_CarRealTime.Outputs.chassis_velocities.yaw,VI_DriveSim.Inputs.Cockpit.Brake.PedalDisplacement,VI_DriveSim.Inputs.Cockpit.Brake.Pressure,VI_DriveSim.Inputs.Cockpit.Brake.Request,VI_DriveSim.Inputs.Cockpit.Brake.Status,VI_DriveSim.Inputs.Cockpit.Restart,VI_DriveSim.Inputs.Cockpit.Restore,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Acceleration,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Angle,VI_DriveSim.Inputs.Cockpit.SteeringWheel.SafetyOn,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Status,VI_DriveSim.Inputs.Cockpit.SteeringWheel.TorqueReference,VI_DriveSim.Inputs.Cockpit.SteeringWheel.Velocity,VI_DriveSim.Inputs.Cockpit.Throttle.Request,Roundabout.EgoPedCollisionFlag,Roundabout.EgoPedEuclideanDistance,Roundabout.EntryTrigger,WorldSim.ego.Sensors.Collision.Status,Milliseconds,SSD,Actual Distance - SSD,Longitudinal Acceleration
48833,-0.22141759,-0.01432527,-0.03163789,0.05050645,-0.00386883,-0.1509268,-1.27557826,22.97475014,0.00517099,0.00194168,-0.18275621,0.34943125,0.0,0.0,0.21709758,2.0,0.0,0.0,-1.25856117,-2.28330381,0.0,1.0,1.813685,0.81461569,8.11471908,0.0,49.97400864,0.0,0.0,392130,21.436153626573,28.537855013427,-0.1405308987
48834,-0.2212994,-0.01415468,-0.03165823,0.05053704,-0.0038932,-0.15108617,-1.27536977,22.97469205,0.00513909,0.00199217,-0.18300895,0.34928023,0.0,0.0,0.21709758,2.0,0.0,0.0,-1.31991521,-2.28255096,0.0,1.0,1.813685,0.81316951,8.11471908,0.0,49.97400864,0.0,0.0,392140,21.43608559961877,28.53792304038123,-0.1388574108
48835,-0.2211783,-0.01398272,-0.03180227,0.05051353,-0.00391308,-0.15116563,-1.27516056,22.97463973,0.00510717,0.00204267,-0.18326174,0.34912911,0.0,0.0,0.21709758,2.0,0.0,0.0,-1.37774871,-2.28179441,0.0,1.0,1.81405,0.81177099,8.14523759,0.0,49.97400864,0.0,0.0,392150,21.43602432974841,28.53798431025159,-0.1371704832
48836,-0.22105456,-0.01380868,-0.032078,0.05043192,-0.00392816,-0.15117398,-1.27495052,22.97459325,0.00507511,0.00209312,-0.18351442,0.34897793,0.0,0.0,0.21709758,2.0,0.0,0.0,-1.43299547,-2.28103795,0.0,1.0,1.81405,0.81055071,8.19101535,0.0,49.97400864,0.0,0.0,392160,21.43596989891728,28.538038741082723,-0.1354631508
48837,-0.2209285,-0.01363347,-0.03230011,0.05029237,-0.00394439,-0.15112126,-1.27473956,22.97455267,0.00504277,0.00214346,-0.18376682,0.34882679,0.0,0.0,0.21709758,2.0,0.0,0.0,-1.49271465,-2.28028939,0.0,1.0,1.81478,0.80940066,8.20627461,0.0,49.97400864,0.0,0.0,392170,21.43592237737197,28.53808626262803,-0.1337443407
48838,-0.2208004,-0.0134576,-0.03241112,0.05009391,-0.00396363,-0.15101592,-1.2745276,22.97451805,0.00501021,0.00219363,-0.18401898,0.34867572,0.0,0.0,0.23096963,2.0,0.0,0.0,-1.54900002,-2.27954474,0.0,1.0,1.81551,0.80811493,8.22153386,0.0,49.97400864,0.0,0.0,392180,21.435881835361023,28.538126804638978,-0.132019056
48839,-0.22067131,-0.01327761,-0.03261765,0.0499815,-0.00397846,-0.15086498,-1.2743146,22.97448948,0.00497749,0.00224371,-0.18427092,0.34852479,0.0,0.0,0.23096963,2.0,0.0,0.0,-1.56968037,-2.27879655,0.0,1.0,1.816605,0.80669261,8.22153386,0.0,49.97400864,0.0,0.0,392190,21.43584837826671,28.538160261733292,-0.1302533541
48840,-0.22053978,-0.01310033,-0.0328792,0.04965917,-0.00399156,-0.15068036,-1.27410047,22.97446691,0.00494461,0.00229351,-0.18452262,0.34837402,0.0,0.0,0.23096963,2.0,0.0,0.0,-1.58134469,-2.27804225,0.0,1.0,1.8177,0.80521661,8.25205237,0.0,49.97400864,0.0,0.0,392200,21.43582194752548,28.53818669247452,-0.1285142373
48841,-0.22040697,-0.01292234,-0.03323609,0.04927415,-0.00400113,-0.15046986,-1.27388515,22.97445035,0.00491146,0.00234295,-0.18477396,0.34822346,0.0,0.0,0.21709758,2.0,0.0,0.0,-1.61429752,-2.27728941,0.0,1.0,1.8177,0.80366263,8.26731162,0.0,49.97400864,0.0,0.0,392210,21.43580255483947,28.53820608516053,-0.1267681554
48842,-0.22027238,-0.01274718,-0.03349098,0.0486785,-0.00401436,-0.15024312,-1.27366855,22.97443973,0.00487802,0.00239183,-0.18502487,0.34807311,0.0,0.0,0.21709758,2.0,0.0,0.0,-1.65539378,-2.27654233,0.0,1.0,1.8177,0.80196675,8.31308939,0.0,49.97400864,0.0,0.0,392220,21.435790118228603,28.5382185217714,-0.1250498358
