City,"State
County
Country",Intersection,Lat,Lng,Type,Status,Control Type ,Other Control,Approaches,Driveways,ICD (m),Functional Class,LaneType,Year Completed,Comments
Wellesley,"ON
Waterloo
Canada",Ament Line / Herrgott Rd.,43.55994,-80.64612,"Roundabout
",Existing,All-Way Yield,None,4,0,,Other (At-Grade),1,2018,https://www.newhamburgindependent.ca/news-story/8660450-wellesley-township-roundabout-construction-begins-next-week/. Year Completed estimated (2018-2019).
Waterloo,"ON
Waterloo Regional Municipality
Canada",Ira Needles Blvd. / Erb St.,43.44632,-80.57117,"Roundabout
",Existing,All-Way Yield,None,4,0,49.425,Other (At-Grade),2,2004,Fishhook pavement markings. Series of five roundabouts. Functional Class: Arterial ICD estimated from Google Maps linework.
Waterloo,"ON
Waterloo
Canada",Ira Needles Blvd. / Thorndale Dr.,43.44178,-80.56523,"Roundabout
",Existing,All-Way Yield,Unknown,4,0,41.6242,Other (At-Grade),2,2016,ICD estimated from Google Maps linework.
Kitchener,"ON
Waterloo
Canada",Ira Needles Blvd. / The Boardwalk,43.4354,-80.55823,"Roundabout
",Existing,All-Way Yield,Unknown,4,0,45.0976,Other (At-Grade),2,2010,ICD estimated from Google Maps linework.
Waterloo,"ON
Waterloo
Canada",Erb St. W / Turtle Island Recycling / Costco parking lot,43.44386,-80.57867,"Roundabout
",Existing,All-Way Yield,Unknown,4,0,41.6227,Other (At-Grade),2,2016,ICD estimated from Google Maps linework.
Kitchener,"ON
Waterloo
Canada",Bridge St / Lancaster St W / Carisbrook Dr,43.48226,-80.48275,"Roundabout
",Existing,All-Way Yield,None,4,0,26.8643,Other (At-Grade),2,2009,ICD estimated from Google Maps linework.
Cambridge,"ON
Waterloo
Canada",Fountain St N / Kossuth Rd / Fairway Rd N,43.4434,-80.38764,"Roundabout
",Existing,All-Way Yield,None,4,0,52.0288,Other (At-Grade),2,2011,ICD estimated from Google Maps linework.
Kitchener,"ON
Waterloo
Canada",Old Zeller Dr / Fairway Rd N / Woolner Trail,43.44796,-80.40444,"Roundabout
",Existing,All-Way Yield,None,4,0,44.2212,Other (At-Grade),2,2012,ICD estimated from Google Maps linework.
Kitchener,"ON
Waterloo
Canada",Homer Watson Blvd / Block Line Rd,43.41839,-80.47074,"Roundabout
",Existing,All-Way Yield,None,4,0,51.1828,Other (At-Grade),2,2011,ICD estimated from Google Maps linework.
Cambridge,"ON
Waterloo
Canada",Fountain St S / Dickie Settlement Rd,43.38351,-80.39744,"Roundabout
",Existing,All-Way Yield,None,4,0,49.4763,Other (At-Grade),2,2010,ICD estimated from Google Maps linework.
